#{"t_start": 1785313229.9421031, "env_id": "None"}
r,l,t
-2.0,1,1.711519
-2.0,1,1.714522
-2.0,1,1.717385
-2.0,1,1.720241
-2.0,1,1.723035
-2.0,1,1.725926
-2.0,1,1.728832
-2.0,1,1.731747
-2.0,1,1.734598
-2.0,1,1.7374
-2.0,1,1.740208
-2.0,1,1.742961
-2.0,1,1.745638
-2.0,1,1.748277
-2.0,1,1.750896
-2.0,1,1.753543
-2.0,1,1.75637
-2.0,1,1.759003
-2.0,1,1.76164
-2.0,1,1.764267
-2.0,1,1.766904
-2.0,1,1.76954
-2.0,1,1.772217
-2.0,1,1.774845
-2.0,1,1.777471
-2.0,1,1.78008
-2.0,1,1.782774
-2.0,1,1.785406
-2.0,1,1.78801
-2.0,1,1.790611
-2.0,1,1.793254
-2.0,1,1.795868
-2.0,1,1.798634
-2.0,1,1.801296
4.0,1,1.803999
-2.0,1,1.806551
-2.0,1,1.809222
-2.0,1,1.811815
-2.0,1,1.814436
-2.0,1,1.817067
-2.0,1,1.819673
-2.0,1,1.822286
-2.0,1,1.824981
-2.0,1,1.827579
-2.0,1,1.830194
-2.0,1,1.832805
-2.0,1,1.835438
-2.0,1,1.838055
-2.0,1,1.840757
-2.0,1,1.843362
4.0,1,1.84604
-2.0,1,1.848594
-2.0,1,1.851179
-2.0,1,1.853783
-2.0,1,1.856395
-2.0,1,1.859007
-2.0,1,1.861615
-2.0,1,1.864235
-2.0,1,1.866908
-2.0,1,1.869536
-2.0,1,1.872146
-2.0,1,1.874753
-2.0,1,1.877369
-2.0,1,1.880005
-2.0,1,1.882663
-2.0,1,1.885312
-2.0,1,1.887915
-2.0,1,1.890533
-2.0,1,1.893169
-2.0,1,1.895778
-2.0,1,1.898395
-2.0,1,1.901025
-2.0,1,1.903627
-2.0,1,1.906239
-2.0,1,1.909078
-2.0,1,1.911645
-2.0,1,1.914274
-2.0,1,1.916875
-2.0,1,1.919456
-2.0,1,1.922077
-2.0,1,1.924675
-2.0,1,1.927263
-2.0,1,1.929877
-2.0,1,1.932485
-2.0,1,1.935082
-2.0,1,1.937686
-2.0,1,1.940297
-2.0,1,1.942885
-2.0,1,1.945488
-2.0,1,1.948172
-2.0,1,1.950757
-2.0,1,1.953367
-2.0,1,1.95597
-2.0,1,1.958563
-2.0,1,1.961169
-2.0,1,1.963766
-2.0,1,1.966368
-2.0,1,1.969082
-2.0,1,1.971643
-2.0,1,1.974253
-2.0,1,1.976869
-2.0,1,1.979454
-2.0,1,1.98206
-2.0,1,1.984668
-2.0,1,1.987249
-2.0,1,1.989892
-2.0,1,1.99249
-2.0,1,1.995068
-2.0,1,1.997686
-2.0,1,2.000291
-2.0,1,2.00287
-2.0,1,2.005478
-2.0,1,2.008094
-2.0,1,2.010691
-2.0,1,2.013317
-2.0,1,2.015914
-2.0,1,2.018522
-2.0,1,2.021123
-2.0,1,2.023708
-2.0,1,2.026309
-2.0,1,2.02893
-2.0,1,2.031568
-2.0,1,2.034259
-2.0,1,2.03682
-2.0,1,2.039411
-2.0,1,2.042008
-2.0,1,2.044763
-2.0,1,2.047526
-2.0,1,2.050294
-2.0,1,2.053085
-2.0,1,2.056082
-2.0,1,2.058813
-2.0,1,2.061588
-2.0,1,2.064343
-2.0,1,2.067095
-2.0,1,2.069849
-2.0,1,2.072613
-2.0,1,2.075385
-2.0,1,2.078142
-2.0,1,2.080899
-2.0,1,2.08363
-2.0,1,2.0864
-2.0,1,2.089159
-2.0,1,2.091885
-2.0,1,2.094642
-2.0,1,2.097483
-2.0,1,2.100247
-2.0,1,2.102991
-2.0,1,2.105762
-2.0,1,2.108531
-2.0,1,2.111265
-2.0,1,2.114019
-2.0,1,2.116837
-2.0,1,2.119583
-2.0,1,2.122509
-2.0,1,2.125245
-2.0,1,2.128016
-2.0,1,2.130756
-2.0,1,2.133501
-2.0,1,2.136276
-2.0,1,2.139091
-2.0,1,2.141858
-2.0,1,2.144614
-2.0,1,2.147352
-2.0,1,2.1501
-2.0,1,2.152862
-2.0,1,2.155599
-2.0,1,2.158392
-2.0,1,2.161172
-2.0,1,2.163987
-2.0,1,2.166774
-2.0,1,2.169538
-2.0,1,2.172321
-2.0,1,2.17507
-2.0,1,2.177851
-2.0,1,2.180624
-2.0,1,2.183384
-2.0,1,2.186148
-2.0,1,2.188911
-2.0,1,2.191664
-2.0,1,2.19443
-2.0,1,2.197193
-2.0,1,2.199997
-2.0,1,2.202751
-2.0,1,2.20552
-2.0,1,2.208286
-2.0,1,2.211036
-2.0,1,2.213888
-2.0,1,2.216675
-2.0,1,2.219421
-2.0,1,2.222183
-2.0,1,2.225055
-2.0,1,2.227722
-2.0,1,2.230537
-2.0,1,2.233296
-2.0,1,2.236063
-2.0,1,2.238815
-2.0,1,2.241613
-2.0,1,2.24437
-2.0,1,2.247131
-2.0,1,2.249889
-2.0,1,2.252671
-2.0,1,2.255416
-2.0,1,2.258176
-2.0,1,2.260954
-2.0,1,2.263758
-2.0,1,2.266538
-2.0,1,2.269318
-2.0,1,2.272079
-2.0,1,2.274828
-2.0,1,2.27758
-2.0,1,2.280356
-2.0,1,2.283153
-2.0,1,2.28592
-2.0,1,2.288713
-2.0,1,2.29145
-2.0,1,2.294209
-2.0,1,2.296988
-2.0,1,2.29973
-2.0,1,2.302513
-2.0,1,2.305286
-2.0,1,2.308085
-2.0,1,2.310859
-2.0,1,2.313648
-2.0,1,2.316493
-2.0,1,2.319238
-2.0,1,2.322005
-2.0,1,2.324818
-2.0,1,2.327565
-2.0,1,2.33033
-2.0,1,2.333088
-2.0,1,2.335822
-2.0,1,2.338595
-2.0,1,2.341387
-2.0,1,2.344171
