#{"t_start": 1785845552.9378283, "env_id": "None"}
r,l,t
11.745,2,0.075877
11.995,1,0.083392
11.495,3,0.108438
9.75,1,0.114623
11.745,2,0.131749
11.745,2,0.145878
9.75,1,0.15379
9.75,1,0.161088
9.74,3,0.190192
11.745,2,0.20734
11.995,1,0.21695
9.99,2,0.232354
9.75,1,0.238666
9.75,1,0.245894
9.99,2,0.261521
9.75,1,0.267613
9.74,3,0.290402
11.995,1,0.297168
11.995,1,0.304166
11.995,1,0.311354
9.75,1,0.317896
11.995,1,0.328662
11.073333,3,0.350492
10.411667,2,0.366344
10.131667,9,0.430639
9.75,1,0.438146
10.411667,2,0.452906
8.395,35,0.686349
9.75,1,0.692365
10.813333,6,0.734449
11.995,1,0.741455
9.533333,17,0.856175
9.75,1,0.863952
11.073333,3,0.887571
10.131667,9,0.945718
10.131667,9,1.005498
9.841667,18,1.131327
5.1,49,1.477836
9.901667,6,1.517452
9.24,5,1.553986
9.831667,20,1.687464
10.131667,9,1.749879
10.661667,1,1.756523
10.151667,5,1.787025
11.995,1,1.793782
9.75,1,1.799451
10.151667,5,1.833226
11.995,1,1.841156
10.935,13,1.997283
10.411667,2,2.010652
7.505,62,2.419197
9.75,1,2.425339
11.995,1,2.4333
-10.006667,100,3.097325
7.873333,55,3.465836
9.75,1,3.471545
-8.448333,100,4.137132
11.205,12,4.224261
8.786667,33,4.439097
9.856667,15,4.539339
9.026667,34,4.76953
11.995,1,4.776864
9.75,1,4.783311
10.425,17,4.897253
9.478333,24,5.055809
10.366667,11,5.132687
10.891667,8,5.187651
-8.36,100,5.853986
10.223333,26,6.045695
10.395,23,6.229109
9.365,33,6.452692
9.99,2,6.466244
11.381667,8,6.519208
10.626667,8,6.569729
7.275,59,6.961916
11.995,1,6.969442
9.095,38,10.700696
10.735,4,10.729058
10.455,11,10.796531
11.995,1,10.804435
11.745,2,10.819218
10.215,10,10.884772
9.75,1,10.8909
11.063333,5,10.924499
10.656667,2,10.938306
10.993333,19,11.072277
9.896667,7,11.122993
10.803333,8,11.183733
11.995,1,11.190962
9.753333,22,11.346572
10.995,1,11.353457
9.73,5,11.390284
9.75,1,11.396884
9.885,27,11.577925
8.966667,46,11.889955
10.891667,8,11.944742
11.995,1,11.954321
10.656667,2,11.966836
10.195,14,12.062931
10.175,18,12.193351
10.783333,12,12.279176
11.323333,2,12.294489
11.475,7,12.340201
10.705,10,12.409174
9.935,17,12.529577
9.6,44,12.831017
11.59,2,12.844733
9.785,29,13.048891
11.995,1,13.055742
11.715,8,13.117221
9.75,1,13.123569
-6.445,100,13.791225
9.21,24,13.95926
6.88,80,14.539621
9.35,45,14.846611
7.575,79,15.390652
10.615,10,15.455328
-6.355,100,16.127172
9.41,33,16.362627
8.295,82,16.910648
11.995,1,16.918943
-6.89,100,21.071507
8.62,44,21.377707
9.95,23,21.537249
11.45,12,21.620316
7.905,93,22.502352
11.323333,2,22.515791
-4.84,100,23.231936
10.661667,1,23.244118
11.995,1,23.255501
9.85,25,23.47207
9.75,1,23.478268
10.675,16,23.590603
9.75,1,23.59694
9.99,2,23.612144
8.505,27,23.798156
10.865,9,23.864341
10.651667,3,23.885697
10.57,28,24.079981
9.36,43,24.373489
11.391667,6,24.415882
9.753333,22,24.569038
10.795,23,24.7292
9.75,1,24.737359
8.12,64,25.175086
9.99,2,25.19137
9.615,32,25.421289
9.565,29,25.630836
11.29,13,25.722678
11.18,4,25.750541
8.74,69,26.232604
10.656667,2,26.246701
10.78,4,26.274588
9.98,48,26.618896
10.315,8,26.675939
9.8,35,26.919673
10.78,4,26.94714
9.99,2,26.962187
10.91,9,27.026574
10.985,3,27.044986
10.406667,3,27.065835
8.845,70,27.609255
8.97,54,27.995527
10.055,24,28.160196
9.605,65,32.106392
10.565,7,32.156906
10.78,4,32.18581
10.965,7,32.238618
10.975,5,32.275663
11.323333,2,32.290518
9.99,2,32.305776
11.345,11,32.388683
11.515,8,32.443316
10.53,5,32.478902
10.78,4,32.508262
10.78,4,32.539839
10.91,9,32.606147
11.15,10,32.684679
11.335,13,32.778347
10.656667,2,32.793348
11.06,10,32.869475
11.17,6,32.915384
10.328333,1,32.92299
11.485,5,32.960279
9.99,2,32.974172
10.661667,1,32.981292
10.965,7,33.031851
-2.771667,100,33.77532
11.651667,3,33.797847
10.528333,32,34.022608
10.661667,1,34.030304
10.656667,2,34.045223
11.181667,8,34.103344
9.75,1,34.10992
9.936667,30,34.320012
10.15,32,34.546044
10.513333,4,34.575017
10.985,3,34.595182
10.898333,7,34.643918
9.183333,87,35.246329
9.806667,56,35.648642
8.913333,30,35.862221
11.658333,15,35.967459
11.045,31,36.190313
-3.726667,100,36.893808
11.438333,10,36.96499
8.605,78,37.507549
9.763333,69,37.993291
11.57,6,38.036577
10.661667,1,38.043928
10.585,3,38.062926
10.735,4,38.089953
11.43,34,38.335711
10.17,41,38.667659
9.99,15,38.774253
8.458333,41,39.06224
10.996667,14,39.1631
11.293333,8,39.218351
10.933333,31,42.880244
10.256667,2,42.895806
9.456667,28,43.095111
9.585,16,43.208923
11.57,6,43.25439
11.263333,14,43.352604
11.323333,2,43.366658
11.17,6,43.409399
10.661667,1,43.41803
10.055,33,43.655941
9.99,2,43.671635
10.585,3,43.693758
9.436667,81,44.262182
9.508333,40,44.542096
10.735,4,44.570091
10.305,32,44.799697
11.165,7,44.848752
11.985,3,44.871439
10.45,21,45.016044
10.905,10,45.085492
10.52,7,45.136682
10.223333,13,45.228992
10.77,6,45.270674
10.77,6,45.313052
9.06,54,45.683795
11.115,17,45.799716
9.305,36,46.048421
11.016667,10,46.119402
10.726667,19,46.255493
10.966667,20,46.400692
10.486667,18,46.525019
11.283333,10,46.59426
10.128333,1,46.601922
10.49,13,46.694484
9.143333,33,46.922172
11.006667,12,47.007447
11.155,9,47.071521
10.315,30,47.281656
11.411667,11,47.361027
9.046667,48,47.701153
11.745,11,47.77836
11.323333,2,47.79238
11.063333,5,47.826479
9.75,1,47.832932
10.311667,22,47.988223
10.51,9,48.05342
10.328333,1,48.062009
9.171667,67,48.52852
10.778333,31,48.743054
10.706667,23,48.901318
-4.62,100,49.690287
10.895,12,49.887955
10.5,11,49.965679
10.903333,37,53.642965
11.026667,8,53.703039
11.675,16,53.815011
10.391667,6,53.86
11.323333,2,53.874388
10.656667,2,53.892021
11.28,15,54.004354
11.026667,8,54.063658
11.54,12,54.151682
10.608333,16,54.265519
11.451667,3,54.28805
10.641667,5,54.32388
11.875,25,54.507133
10.975,5,54.543983
11.54,12,54.634336
10.641667,5,54.670465
10.301667,24,54.845086
11.365,7,54.895486
11.036667,6,54.939774
10.77,6,54.984093
10.601667,13,55.082592
11.283333,10,55.155223
11.155,9,55.226966
10.975,5,55.269465
10.585,3,55.291245
10.905,10,55.371585
11.995,1,55.379699
10.955,9,55.449676
11.283333,10,55.528925
10.898333,7,55.578515
10.411667,2,55.59346
9.75,1,55.599331
11.391667,15,55.714115
10.513333,4,55.742109
11.421667,9,55.809667
11.026667,8,55.86708
10.898333,7,55.917763
10.975,5,55.955173
11.006667,12,56.040097
10.513333,4,56.068485
11.355,9,56.137826
11.026667,8,56.198734
10.78,4,56.227207
10.985,3,56.250178
11.668333,13,56.344811
10.7,20,56.495706
10.385,3,56.519274
11.155,9,56.586279
10.898333,7,56.645797
11.165,7,56.698368
10.953571,46,57.097946
11.29381,46,57.415773
8.621429,47,57.745384
11.323333,2,57.762311
9.381429,91,58.396669
-3.079048,100,59.121721
9.352381,75,59.641608
10.722619,16,59.758058
9.372619,90,60.386421
11.123095,23,60.551663
9.022857,81,64.719907
9.802619,53,65.097423
10.822143,7,65.147376
10.812143,9,65.209373
10.272143,68,65.701229
9.75,1,65.707767
9.383095,77,66.307845
-3.160476,100,67.02849
9.99,2,67.042145
10.942619,21,67.203053
9.592143,57,67.644624
8.782857,80,68.223073
-3.337857,100,68.95039
9.173095,70,69.4338
10.783333,61,69.862669
10.898333,7,69.910461
10.674048,42,70.206433
9.861667,63,70.651983
10.633095,23,70.817586
10.872381,16,70.929968
10.656667,2,70.943858
9.75,1,70.950171
10.172619,28,71.321849
10.351667,14,71.462947
9.303095,93,72.10966
11.184048,38,75.892214
11.002619,9,75.961955
11.002619,9,76.032696
10.052143,14,76.134193
10.45119,5,76.169714
9.99,2,76.184183
10.933095,12,76.272189
10.191905,16,76.393856
10.39,2,76.408922
10.902381,10,76.484995
10.195,1,76.492901
10.721905,8,76.5524
10.712619,18,76.681081
10.541429,6,76.726034
10.180476,2,76.741472
10.683095,13,76.830763
10.661667,1,76.838082
11.153095,17,76.965524
10.221429,21,77.1176
10.573571,24,77.289249
10.975,5,77.32534
10.872381,16,77.445161
10.77,6,77.490045
10.45119,5,77.526304
10.642381,13,77.622497
11.193333,28,77.827567
10.658333,6,77.871954
10.181905,18,78.003618
10.812143,9,78.066589
11.995,1,78.0736
10.661667,1,78.080955
11.183095,11,78.162178
10.812143,9,78.228117
10.711905,10,78.30237
10.812143,9,78.364519
11.002619,9,78.433009
11.323333,2,78.448044
10.992619,11,78.527192
10.812143,9,78.59316
11.995,1,78.600619
10.992619,11,78.678485
10.471905,9,78.74333
10.992619,11,78.820287
11.0,22,78.980592
10.653095,19,79.117272
11.323333,2,79.131299
11.103571,16,79.242201
10.792857,21,79.397311
10.975,5,79.435031
10.721905,8,79.493354
11.082857,12,79.579414
10.812143,9,79.642015
11.082857,12,79.728077
10.985,3,79.749844
10.44119,7,79.800081
10.975,5,79.83158
11.17,6,79.875333
10.902381,10,79.948841
10.622381,17,80.073898
10.912381,8,80.132758
10.898333,7,80.184289
11.082857,12,80.268778
11.243333,18,80.393452
10.191905,16,80.505499
10.898333,7,80.556584
10.722857,35,80.808111
11.073571,22,80.964299
11.514048,21,81.116737
11.082857,12,81.203562
11.103571,16,81.317291
10.631667,7,81.370075
10.633095,23,81.537796
10.42119,11,81.618572
10.812143,9,81.685246
10.271429,11,81.764773
11.323333,2,81.779279
10.531429,8,81.837315
10.822143,7,81.890849
10.721905,8,81.951945
11.355,9,82.017361
11.253333,16,82.132949
11.323333,2,82.147758
11.374286,19,82.28457
10.661667,1,82.292158
10.451905,13,82.386509
10.812143,9,82.454087
11.735,4,82.48376
9.99,2,82.499017
11.323333,2,82.51531
10.92381,22,82.676958
10.472619,17,82.799199
10.852857,9,82.86296
10.312143,11,82.941367
11.365,7,82.993081
10.641667,5,83.029677
11.173095,13,83.122318
11.313333,4,83.149697
10.328333,1,83.15661
10.812143,9,86.704865
10.39,2,86.720182
9.75,1,86.726607
10.360952,4,86.758139
10.802143,11,86.838434
10.77,6,86.88352
11.062857,16,86.999552
11.173095,13,87.095472
11.145,11,87.175251
9.99,2,87.190547
10.631667,7,87.240947
10.661667,1,87.248123
10.962619,17,87.375956
10.812143,9,87.441441
11.173095,13,87.535177
10.45119,5,87.571829
10.631667,7,87.62576
10.812143,9,87.690037
10.812143,9,87.774582
10.812143,9,87.862895
10.631667,7,87.929905
10.542143,14,88.032733
11.995,1,88.040166
10.902381,10,88.114451
10.631667,7,88.164086
11.013333,15,88.270256
10.360952,4,88.299333
10.721905,8,88.358715
10.982619,13,88.454357
11.253333,16,88.570666
10.721905,8,88.630251
10.902381,10,88.704859
11.323333,2,88.719327
10.562143,10,88.790364
10.732619,14,88.894224
10.992619,11,88.974215
9.98,4,89.005428
10.701905,12,89.092414
10.631667,7,89.14409
11.323333,2,89.160371
10.541429,6,89.204088
10.656667,2,89.219123
10.982619,13,89.311811
10.531429,8,89.369679
10.812143,9,89.435623
10.631667,7,89.488715
11.985,3,89.510851
11.072857,14,89.616986
10.832857,13,89.709048
11.173095,13,89.801512
10.90381,26,89.989643
10.923095,14,90.089652
10.652381,11,90.174995
11.082857,12,90.26476
11.995,1,90.273707
11.17,6,90.315196
11.103571,16,90.4307
-2.225,100,91.247921
10.772857,25,91.440788
11.173095,13,91.534
10.531429,8,91.590075
8.932857,99,92.355682
-2.082143,100,93.063066
-1.622857,100,93.77188
9.996429,68,97.732411
10.513571,34,97.966123
10.509286,43,98.277904
-2.051429,100,99.044909
10.730714,11,99.125227
10.513333,4,99.154531
9.353571,70,99.655344
11.995,1,99.663038
9.99,2,99.677389
11.315,37,99.945072
10.898333,7,99.993809
-2.541429,100,100.708296
10.664286,10,100.784197
10.585,3,100.805819
10.975,5,100.84068
10.607857,7,100.895
10.807143,10,100.96643
10.027143,68,101.446059
9.116429,97,102.134532
10.771429,62,102.572697
10.902381,10,102.644894
11.995,1,102.652348
11.995,1,102.660492
10.87,26,102.84724
10.853571,15,102.951345
11.995,1,102.958307
10.332143,5,102.992668
10.902381,10,103.061732
10.330714,42,103.363095
11.323333,2,103.377641
10.080952,11,103.457003
10.873571,11,103.534667
10.661667,1,103.54232
-2.132857,100,104.258275
10.90381,26,104.43962
8.682857,100,108.635284
11.115,8,108.695147
10.567857,15,108.803903
11.089286,25,108.98221
10.68,15,109.092211
10.985,3,109.115999
11.283571,29,109.331836
10.956429,23,109.642734
10.802143,11,109.757801
10.985,3,109.780671
11.218571,42,110.088739
10.513333,4,110.118654
11.272143,17,110.245898
11.323333,2,110.262213
11.062857,16,110.379962
10.813333,6,110.427482
10.440714,20,110.57399
11.006429,13,110.672922
11.098571,17,110.796939
11.641667,5,110.833755
10.925714,23,111.004256
10.242619,14,111.104782
10.69,13,111.198079
10.435,13,111.291389
11.985,3,111.312966
10.797143,12,111.403885
10.697857,42,111.704975
10.613571,14,111.800608
11.195714,18,111.932356
10.813571,23,112.097447
10.996429,15,112.206042
11.283333,10,112.27571
9.75,1,112.281812
10.270714,3,112.30579
10.585,3,112.327961
11.995,1,112.33677
9.99,2,112.352069
10.902143,42,112.657538
10.600714,37,112.924689
10.863571,13,113.017569
10.531429,8,113.075408
11.019286,39,113.363202
10.128333,1,113.370882
10.680714,21,113.52522
11.3,11,113.608358
10.180476,2,113.62392
10.501429,14,113.724854
11.032857,22,113.879066
10.87,26,114.06993
11.110714,37,114.340547
11.641667,5,114.376451
10.902381,10,114.449849
10.807143,10,114.521555
11.103571,16,114.631078
10.332143,5,114.666399
10.552857,20,114.813386
11.185714,20,114.95631
10.78,4,114.985456
11.995,1,114.993523
10.360952,4,115.024363
10.654286,12,115.111187
10.94,12,115.200118
10.69,13,115.293898
9.727857,36,115.551885
11.421667,9,115.61732
10.706429,24,115.794601
10.513333,4,115.822858
10.511429,12,115.909433
11.995,1,115.917119
11.273333,12,116.003861
10.706429,24,119.617229
10.656667,2,119.634003
10.996429,15,119.742509
11.022857,24,119.91838
10.975,5,119.955454
10.93,14,120.056881
10.822857,15,120.166596
10.767143,18,120.296362
10.671667,12,120.382055
11.421667,9,120.4487
11.212143,29,120.655945
10.465,7,120.70465
11.985,3,120.727449
10.739286,46,121.06258
11.129286,17,121.188355
11.328571,20,121.33612
11.283333,10,121.409363
10.772857,25,121.589414
10.908333,5,121.62931
10.797143,12,121.715744
10.414286,11,121.791752
10.695714,20,121.937771
10.67,17,122.06186
11.17,6,122.105757
11.995,1,122.112778
10.992619,11,122.189591
11.222143,27,122.39184
10.664286,10,122.464795
11.995,1,122.472348
10.742857,31,122.700263
11.059286,31,122.924913
10.955714,17,123.045955
10.531429,8,123.103094
11.995,1,123.110459
10.898333,7,123.160184
11.185714,20,123.304928
10.996429,15,123.416626
10.730714,11,123.495367
11.062857,16,123.612502
11.072857,14,123.713636
11.323333,2,123.728616
10.863571,13,123.825431
10.664286,10,123.901694
10.398571,6,123.943253
10.819286,30,124.162351
10.521429,10,124.232686
10.935714,21,124.384306
11.175714,22,124.547001
10.641667,5,124.582281
10.68,15,124.69159
10.996429,15,124.802504
11.272143,17,124.927393
10.328333,1,124.934962
10.332143,5,124.971205
11.026667,8,125.030122
10.661667,1,125.037471
10.903095,18,125.165201
11.026667,8,125.226779
10.597857,9,125.292985
10.797143,12,125.380079
11.641667,5,125.418545
10.902381,10,125.49204
10.155,20,125.639139
10.93,14,125.741736
10.912381,8,125.798481
11.119286,19,125.9367
10.787143,14,126.054591
