#{"t_start": 1785881150.4994175, "env_id": "None"}
r,l,t
11.495,3,0.081859
9.75,1,0.092162
11.495,3,0.120136
11.245,4,0.153457
9.74,3,0.178267
9.99,2,0.197979
9.75,1,0.204351
9.75,1,0.213484
11.745,2,0.230972
11.745,2,0.253692
9.611667,15,0.375742
9.75,1,0.384054
11.995,1,0.393547
11.053333,7,0.45287
8.743333,28,0.684515
10.151667,5,0.722014
10.813333,6,0.77303
9.99,2,0.789754
9.891667,8,0.85748
10.823333,4,0.890845
10.553333,9,0.966988
10.543333,11,1.05673
10.161667,3,1.081192
9.75,1,1.089106
8.581667,25,1.28425
10.573333,5,1.326361
10.396667,5,1.465717
7.016667,44,1.810917
9.876667,11,1.900907
10.743333,20,2.059465
11.995,1,2.069004
9.99,2,2.084041
8.621667,17,2.213002
11.033333,11,2.301338
8.621667,17,2.437799
9.763333,20,2.593502
4.265,73,3.171461
10.651667,3,3.196677
9.253333,24,3.389306
8.211667,54,3.813507
8.246667,43,4.154055
10.385,25,4.353398
8.655,28,4.566767
10.985,3,4.589422
-9.605,100,5.358992
9.74,3,5.384754
6.805,55,5.813607
11.745,2,5.830726
9.253333,24,6.023874
10.273333,16,6.149948
9.665,22,6.321564
9.49,4,6.352524
11.995,1,6.360344
9.106667,18,6.498382
10.715,8,6.561776
10.273333,16,6.684133
10.013333,19,6.835757
10.563333,7,6.890193
10.753333,18,7.033262
11.995,1,7.041981
11.073333,3,7.065578
10.803333,8,7.127257
9.601667,17,7.259828
11.995,1,7.268406
6.96,77,7.868544
8.246667,43,13.916578
10.328333,1,13.92606
10.656667,2,13.945405
9.818333,5,13.98743
11.051667,25,14.192811
9.75,1,14.201339
10.318333,3,14.228318
10.515,30,14.488458
10.195,1,14.496915
10.823333,4,14.529045
9.75,1,14.536691
10.89,13,14.641991
11.995,1,14.650564
10.365,29,14.889512
10.318333,3,14.913792
11.151667,5,14.954099
7.8,79,15.582048
10.028333,12,15.680977
10.265,31,15.932912
10.79,2,15.949171
7.73,75,16.561262
11.995,1,16.570278
-3.77,100,17.372798
10.27,39,17.685764
9.98,4,17.717656
10.585,96,18.483494
10.32,29,18.721369
-3.105,100,19.532319
9.295,29,19.76995
10.06,19,19.930501
10.745,2,19.947222
9.6,44,20.300298
10.51,9,20.374584
-4.795,100,21.186065
10.945,11,21.281787
9.57,32,21.541387
11.785,3,21.56839
8.98,21,21.73866
9.75,1,21.746465
10.16,30,21.998292
10.195,1,22.006804
10.09,26,28.037917
10.985,3,28.067531
9.75,1,28.076325
10.985,3,28.103101
11.995,1,28.113394
11.15,10,28.20309
11.995,1,28.212047
11.995,1,28.221184
11.995,1,28.228807
10.77,6,28.282237
11.651667,3,28.311577
11.18,4,28.350252
11.17,6,28.40567
11.355,9,28.487492
10.328333,1,28.497032
11.55,10,28.585658
10.79,2,28.603341
10.661667,1,28.612957
10.661667,1,28.622053
10.328333,1,28.630932
10.975,5,28.673195
9.75,1,28.680898
10.93,5,28.724474
10.335,4,28.759218
11.57,6,28.812865
10.466667,22,29.002019
9.75,1,29.009524
10.51,9,29.08534
10.595,23,29.273419
10.345,24,29.465173
10.716667,21,29.639291
10.716667,21,29.814741
9.26,63,30.336411
11.995,1,30.345199
10.17,28,30.574188
10.94,3,30.600713
10.271667,30,30.848722
9.963333,16,30.979314
10.76,8,31.040882
11.111667,22,31.220684
11.995,1,31.230156
11.263333,14,31.35099
9.695,43,31.701543
11.385,3,31.726707
9.058333,19,31.878983
10.39,2,31.896175
11.026667,8,31.959402
10.121667,11,32.054231
10.838333,19,32.206925
11.323333,2,32.223259
10.661667,1,32.231744
10.233333,11,32.321203
10.888333,9,32.394823
10.15,32,32.655136
9.99,2,32.671106
9.223333,66,33.203869
10.026667,61,33.696588
9.6,44,34.063849
11.323333,2,34.08054
10.215,50,34.494979
11.995,1,34.503916
10.963333,25,34.708825
11.99,2,34.724228
10.71,18,34.876389
10.765,38,35.190232
9.455,55,35.645597
9.972143,30,36.168549
10.412381,59,42.48307
9.480952,33,42.752254
11.032619,3,42.777015
11.414286,11,42.869729
11.163095,15,42.992986
9.873095,28,43.230418
11.171667,10,43.31721
10.752143,21,43.492724
10.585,3,43.517169
10.762143,19,43.674677
11.385,3,43.699219
10.912381,8,43.766015
10.661667,1,43.774513
10.656667,2,43.791484
9.861905,33,44.062599
10.370952,2,44.080464
10.731905,6,44.128752
11.023333,13,44.235263
10.803095,38,44.557596
9.803571,80,45.217492
10.763571,35,45.512741
11.203095,7,45.569069
11.204048,34,45.854845
10.542143,14,45.972248
10.842857,11,46.061317
10.585,3,46.086737
10.621905,28,46.317157
10.311667,22,46.508426
11.293333,8,46.575153
11.113571,14,46.691852
10.741905,4,46.723182
11.112857,6,46.77126
10.021667,31,47.028643
9.86119,25,47.23601
10.703333,28,47.466465
10.762143,19,47.617801
10.822143,7,47.676363
10.373095,26,47.888659
9.75,1,47.896761
10.671905,18,48.04835
11.183333,30,48.299984
10.351667,14,48.418989
10.432143,36,48.722923
11.49381,6,48.771841
11.11381,33,49.04839
10.561429,2,49.065518
10.531429,8,49.128405
11.451667,3,49.153376
10.641667,5,49.197394
9.711905,63,49.716885
10.46119,3,49.741707
11.18381,19,49.897817
9.309286,87,50.773275
9.99,2,50.789428
11.644286,14,56.906222
10.404286,13,57.02046
10.760714,5,57.062266
10.674286,8,57.129614
11.501429,14,57.243674
10.587857,11,57.332721
11.022619,5,57.375317
9.75,1,57.38336
10.475,5,57.425255
11.026429,9,57.499086
10.485,3,57.523467
11.082857,12,57.622323
10.255714,59,58.109686
11.052857,18,58.259339
11.594048,5,58.301335
9.75,1,58.308836
10.337857,12,58.40953
11.235714,10,58.492416
10.517143,19,58.646744
10.597857,9,58.725085
10.434286,7,58.781459
9.574286,32,59.050039
11.235714,10,59.129637
10.720714,13,59.243319
10.837143,4,59.276298
9.99,2,59.294619
10.555714,48,59.698607
11.255714,6,59.747407
9.99,2,59.765006
9.857857,59,60.261244
11.393571,7,60.320104
11.185,3,60.346877
11.193095,9,60.420895
10.922381,6,60.472854
10.668571,54,60.92211
10.661667,1,60.930836
11.032857,22,61.116132
10.523333,2,61.134117
11.255714,6,61.185917
10.737143,24,61.381772
11.046667,4,61.415742
9.74,56,61.889203
11.092857,10,61.973329
10.650714,27,62.194173
10.903571,5,62.235714
10.896429,35,62.530218
10.39,2,62.547234
11.213095,5,62.588192
10.827143,6,62.636127
10.98,4,62.67046
11.674286,8,62.73664
10.817143,8,62.806185
10.873571,11,62.900118
10.387143,45,63.274302
10.809286,32,63.536263
10.883571,9,63.608596
10.417143,39,63.931397
11.046429,5,63.97234
10.466429,23,64.577557
7.918333,93,65.342547
10.97,6,71.45778
11.036429,7,71.519911
11.203095,7,71.581933
10.862857,7,71.640074
10.471111,30,71.890424
10.821667,20,72.060132
11.295556,52,72.497428
10.923889,93,73.27191
10.328333,1,73.282046
10.962778,14,73.398103
10.546111,13,73.506803
10.501111,24,73.710996
10.855556,42,74.054882
11.092222,26,74.276776
11.312143,9,74.35275
10.528889,23,74.540203
10.525556,6,74.590288
9.766667,33,74.865981
10.960556,19,75.018358
11.091667,15,75.148239
11.011667,31,75.4016
10.482222,50,75.818367
10.523333,2,75.835431
10.688333,29,76.077947
11.995,1,76.086893
10.731905,6,76.138096
10.387222,18,76.284831
10.990556,13,76.392483
10.617857,5,76.435326
11.995,1,76.44429
9.99,2,76.462247
9.901111,46,76.85288
10.97,6,76.903946
10.818889,14,77.020244
10.86,28,77.25298
11.323889,13,77.36001
10.995,1,77.368552
11.092778,37,77.680408
9.79,46,78.070116
10.731111,27,78.299166
10.751667,34,78.582098
11.445,11,78.676431
10.647222,15,78.798534
10.661667,1,78.818395
-4.173333,100,79.65207
9.75,1,79.661396
11.180556,75,86.210119
10.788889,20,86.375439
10.017778,45,86.747856
10.539444,12,86.846531
10.877778,20,87.017055
10.600556,31,87.275925
11.413571,3,87.30117
10.698889,38,87.62295
11.026111,17,87.763689
