#{"t_start": 1785857735.1382012, "env_id": "None"}
r,l,t
9.75,1,4.504258
11.745,2,4.521758
11.745,2,4.537633
9.99,2,4.55212
11.995,1,4.559438
11.245,4,4.587907
9.75,1,4.595395
9.75,1,4.602082
9.99,2,4.619093
9.75,1,4.625409
11.995,1,4.634613
9.99,2,4.653342
9.75,1,4.661046
9.99,2,4.677114
9.75,1,4.685024
11.495,3,4.707202
9.99,2,4.722523
9.813333,10,4.809674
9.213333,32,5.046239
9.75,1,5.05241
11.745,2,5.067776
11.995,1,5.076265
9.121667,15,5.191111
9.74,3,5.213293
11.985,3,5.23702
10.053333,11,5.317718
11.995,1,5.325591
10.131667,9,5.388775
8.865,39,5.674885
11.073333,3,5.697783
10.793333,10,5.774082
11.995,1,5.783057
9.99,2,5.798446
11.995,1,5.806444
9.74,3,5.828781
11.745,2,5.845082
11.073333,3,5.865579
11.995,1,5.8729
10.661667,1,5.881064
9.75,1,5.888324
9.75,1,5.896133
11.995,1,5.905556
11.995,1,5.915078
11.745,2,5.92944
11.323333,2,5.94461
9.945,15,6.138178
6.645,38,6.412075
9.74,3,6.433649
9.99,2,6.450007
-7.87,100,7.239097
9.185,20,7.380096
8.761667,42,7.689245
10.106667,14,7.78826
10.356667,13,7.884576
10.523333,15,7.994824
11.361667,12,8.081563
9.876667,11,8.162938
6.815,53,8.551427
11.495,3,8.571336
9.75,1,8.578252
9.75,1,8.58607
8.776667,35,8.846597
-10.095,100,9.579275
9.75,1,9.588779
5.626667,77,10.144443
11.023333,13,10.23813
9.121667,15,10.343653
10.831667,20,10.486883
10.396667,5,10.525121
7.315,51,10.892645
11.995,1,10.900295
10.985,3,10.922383
10.141667,7,10.973669
9.75,1,10.980415
7.516667,42,11.329037
11.495,3,11.412209
11.745,2,11.449789
10.175,18,11.703165
10.631667,11,11.786438
11.995,1,11.795144
8.028333,20,11.942238
9.99,2,11.958569
11.661667,1,11.967096
9.621667,13,12.066626
9.808333,7,12.116563
10.465,9,12.179782
11.323333,2,12.195252
9.665,22,16.909805
8.063333,66,17.401313
10.96,12,17.491331
11.323333,2,17.505639
9.08,45,17.839489
11.073333,3,17.863103
11.995,1,17.870795
10.813333,6,17.920151
10.995,1,17.937404
10.735,4,17.982083
11.995,1,17.993447
10.925,15,18.140669
11.495,3,18.16381
11.995,1,18.26728
9.18,30,18.498496
9.825,39,18.791279
-5.82,100,19.531193
9.73,5,19.568871
9.363333,51,19.954764
-6.89,100,20.68052
8.533333,70,21.199456
11.323333,2,21.214993
9.99,2,21.230316
-6.4,100,21.978477
7.485,84,22.607604
11.323333,2,22.623094
