#{"t_start": 1785881150.4825325, "env_id": "None"}
r,l,t
9.99,2,0.090772
11.995,1,0.098412
11.995,1,0.107358
9.75,1,0.116056
9.99,2,0.134627
9.75,1,0.143999
11.995,1,0.152959
11.995,1,0.161018
11.745,2,0.178499
9.75,1,0.18571
9.75,1,0.196337
11.745,2,0.213378
9.75,1,0.221287
11.995,1,0.231743
9.99,2,0.248157
9.121667,15,0.375831
9.99,2,0.391446
11.995,1,0.400502
10.661667,1,0.408755
10.705,14,0.527421
9.99,2,0.544076
9.75,1,0.552888
10.263333,18,0.699099
10.401667,4,0.730876
11.745,2,0.74823
11.985,3,0.772789
10.995,5,0.814898
11.985,3,0.840722
8.71,13,0.948682
9.371667,14,1.064402
9.99,2,1.081359
11.495,3,1.106914
9.75,1,1.113314
10.151667,5,1.151919
9.75,1,1.159207
9.901667,6,1.206293
9.75,1,1.213135
11.073333,3,1.237064
9.99,2,1.253595
11.323333,2,1.269603
9.98,4,1.302477
9.75,1,1.309151
9.75,1,1.318222
9.24,5,1.358958
9.99,2,1.376203
10.661667,1,1.38391
11.495,3,1.407715
10.661667,1,1.414984
9.75,1,1.421506
9.493333,25,1.637753
10.656667,2,1.654853
-8.095,100,2.443912
7.008333,77,3.054821
10.543333,11,3.141252
11.245,4,3.172012
11.341667,16,3.304702
8.905,27,3.516859
10.145,28,3.732973
11.19,15,3.854326
-9.026667,100,4.638483
7.845,43,4.970366
10.033333,15,5.085651
8.793333,18,5.223259
7.105,44,5.565611
5.713333,95,6.315396
11.995,1,6.322787
4.205,85,6.985981
10.311667,26,7.192087
8.99,6,7.237073
7.895,33,7.495642
11.745,2,7.511954
10.263333,18,7.651325
7.478333,32,7.90392
10.733333,22,8.079447
9.356667,17,13.917037
11.323333,2,13.934258
10.328333,1,13.942698
11.311667,22,14.129137
10.965,7,14.184509
10.656667,2,14.202247
10.995,1,14.210586
11.995,1,14.219153
9.99,2,14.236305
11.323333,2,14.253413
9.925,37,14.561303
11.995,1,14.569892
10.661667,1,14.578204
10.661667,1,14.586798
10.365,29,14.819834
11.995,1,14.828573
11.995,1,14.83646
10.13,5,14.88132
10.875,25,15.085872
-3.285,100,15.883715
11.105,10,15.965368
7.94,95,16.737384
8.75,49,17.129619
11.995,1,17.137171
10.68,37,17.438474
9.78,26,17.647678
9.32,51,18.053468
10.195,32,18.309499
9.745,37,18.607911
11.323333,2,18.625952
6.98,78,19.255837
10.465,27,19.477735
10.705,10,19.559621
10.975,5,19.599979
9.955,62,20.107549
9.63,38,20.41501
10.285,14,20.532412
9.81,51,20.940592
10.39,2,20.957276
9.28,28,21.185793
10.335,4,21.221631
11.18,4,21.255416
11.06,10,21.339296
10.12,20,21.501661
9.805,12,21.599859
10.195,1,21.609704
10.15,32,21.873717
10.695,12,21.973601
10.105,32,28.053772
11.323333,2,28.074208
11.15,10,28.166058
11.323333,2,28.18426
11.995,1,28.191769
10.985,3,28.218764
11.995,1,28.228712
10.79,2,28.246425
11.323333,2,28.263585
10.78,4,28.300588
11.375,5,28.34661
11.19,2,28.367361
10.975,5,28.41168
10.661667,1,28.420008
10.995,1,28.43207
10.335,4,28.467536
9.75,1,28.47552
11.995,1,28.485509
11.375,5,28.531899
11.57,6,28.584246
11.785,3,28.61136
11.18,4,28.647606
10.79,2,28.665811
10.985,3,28.69008
10.985,3,28.715284
11.16,8,28.787966
10.641667,5,28.878956
10.115,8,28.945076
10.493333,8,29.010217
10.365,7,29.068022
11.19,2,29.084407
10.523333,2,29.101789
10.081667,19,29.256366
10.695,12,29.353485
11.036667,6,29.401858
10.878333,11,29.490651
9.775,27,29.714105
10.43,25,29.92208
11.031667,38,30.238066
10.661667,1,30.24725
10.641667,5,30.287852
11.995,1,30.296433
9.816667,54,30.738066
11.48,24,30.93838
8.823333,48,31.332867
10.995,1,31.341471
11.995,1,31.350075
10.421667,62,31.857032
9.651667,69,32.421304
10.321667,20,32.578757
11.323333,2,32.595912
9.53,58,33.067808
10.25,61,33.559162
9.636667,41,33.895742
11.385,3,33.921358
10.786667,7,33.978026
11.17,6,34.030304
11.995,1,34.038851
9.603333,39,34.356701
10.328333,1,34.365896
11.323333,2,34.384997
11.18,4,34.418233
11.323333,2,34.435915
10.365,7,34.493931
10.878333,11,34.585964
10.706667,23,34.773574
11.313333,4,34.806536
10.471667,39,35.130563
10.865,18,35.281573
11.995,1,35.292044
11.175,5,35.333447
10.996667,14,35.446457
10.631667,7,35.505195
11.026667,8,35.5743
9.586667,38,35.885778
11.046667,4,35.919181
11.995,1,35.928326
9.082619,50,36.341953
10.661667,1,36.350658
10.492143,24,42.380327
11.323333,2,42.397819
11.002619,9,42.473978
10.441905,15,42.598222
10.661667,1,42.607782
10.802143,11,42.696994
11.668333,13,42.802712
10.673571,53,43.246292
11.59,2,43.265273
11.193095,9,43.343344
11.003333,17,43.484703
