#{"t_start": 1785449607.9536612, "env_id": "None"}
r,l,t
-2.0,1,0.010532
-2.0,1,0.013613
-2.0,1,0.016254
-2.0,1,0.01905
-2.0,1,0.021754
-2.0,1,0.024304
-2.0,1,0.026648
-2.0,1,0.02917
-2.0,1,0.031657
-2.0,1,0.034294
-2.0,1,0.036918
-2.0,1,0.039797
-2.0,1,0.04223
-2.0,1,0.044698
-2.05,2,0.049637
-2.0,1,0.05207
-2.0,1,0.054604
-2.0,1,0.057038
-2.0,1,0.059572
-2.0,1,0.062005
-2.0,1,0.06445
-2.0,1,0.066977
-2.0,1,0.069385
-2.0,1,0.071995
-2.0,1,0.074407
-2.0,1,0.076844
-2.0,1,0.079403
-2.0,1,0.081836
-2.0,1,0.084429
-2.0,1,0.086981
-2.0,1,0.089533
-2.0,1,0.091939
-2.0,1,0.094441
-2.0,1,0.096878
-2.0,1,0.099438
-2.0,1,0.10198
-2.0,1,0.104376
-2.0,1,0.106763
-2.0,1,0.109171
-2.0,1,0.111549
-2.0,1,0.11393
-2.0,1,0.116371
-2.0,1,0.118771
-2.0,1,0.12116
-2.0,1,0.123526
-2.0,1,0.12613
-2.0,1,0.128518
-2.0,1,0.130882
-2.0,1,0.133263
-2.0,1,0.135643
-2.0,1,0.138029
-2.0,1,0.140421
-2.0,1,0.142832
-2.0,1,0.145224
-2.0,1,0.1476
-2.0,1,0.149997
-2.0,1,0.152417
-2.0,1,0.154791
-2.0,1,0.157174
-2.0,1,0.159534
-2.0,1,0.161921
-2.0,1,0.164322
-2.0,1,0.166713
-2.0,1,0.169304
-2.0,1,0.171866
-2.0,1,0.174537
-2.0,1,0.177278
-2.0,1,0.180008
-2.0,1,0.182668
-2.0,1,0.185253
-2.0,1,0.18783
-2.0,1,0.190399
-2.0,1,0.19303
-2.0,1,0.195759
-2.0,1,0.198465
-2.0,1,0.201201
-2.0,1,0.203928
-2.0,1,0.20667
-2.0,1,0.209417
-2.0,1,0.21214
-2.0,1,0.214862
-2.0,1,0.217592
-2.0,1,0.220208
-2.0,1,0.222757
-2.0,1,0.225305
-2.0,1,0.227849
-2.0,1,0.230376
-2.0,1,0.232959
-2.0,1,0.235566
-2.0,1,0.238161
-2.0,1,0.240757
-2.0,1,0.243312
-2.0,1,0.245936
-2.0,1,0.248558
-2.0,1,0.251108
-2.0,1,0.253675
-2.0,1,0.256262
-2.0,1,0.258791
-2.0,1,0.261352
-2.0,1,0.263891
-2.0,1,0.266444
-2.0,1,0.269003
-2.0,1,0.271425
-2.0,1,0.273969
-2.0,1,0.276529
-2.0,1,0.279076
-2.0,1,0.281626
-2.0,1,0.284172
-2.0,1,0.286724
-2.0,1,0.289319
-2.0,1,0.291886
-2.0,1,0.294427
-2.0,1,0.296974
-2.0,1,0.299515
-2.0,1,0.302079
-2.0,1,0.304635
-2.0,1,0.307165
-2.0,1,0.309715
-2.0,1,0.312281
-2.0,1,0.314805
-2.0,1,0.317357
-2.0,1,0.319957
-2.0,1,0.322477
-2.0,1,0.325038
-2.0,1,0.327583
-2.0,1,0.330149
-2.0,1,0.332722
-2.0,1,0.335332
-2.0,1,0.337891
-2.0,1,0.340439
-2.0,1,0.342988
-2.0,1,0.345554
-2.0,1,0.348126
-2.0,1,0.350676
-2.0,1,0.353227
-2.0,1,0.355767
-2.0,1,0.358325
-2.0,1,0.3609
-2.0,1,0.363435
-2.0,1,0.366014
-2.0,1,0.368568
-2.0,1,0.371088
-2.0,1,0.373673
-2.0,1,0.376274
-2.0,1,0.37881
-2.0,1,0.381408
-2.0,1,0.383978
-2.0,1,0.386566
-2.0,1,0.389126
-2.0,1,0.391658
-2.0,1,0.394198
-2.0,1,0.39676
-2.0,1,0.399313
-2.0,1,0.401917
-2.0,1,0.404535
-2.0,1,0.407106
-2.0,1,0.409726
-2.0,1,0.412279
-2.0,1,0.414877
-2.0,1,0.417461
-2.0,1,0.420043
5.0,1,0.422683
-2.0,1,0.425192
-2.0,1,0.427744
-2.0,1,0.430314
-2.0,1,0.432919
-2.0,1,0.43547
-2.0,1,0.438036
-2.0,1,0.440596
-2.0,1,0.443141
-2.0,1,0.445731
-2.0,1,0.448367
-2.0,1,0.450922
-2.0,1,0.453523
-2.0,1,0.456096
-2.0,1,0.458638
-2.0,1,0.461184
-2.0,1,0.463729
-2.0,1,0.466278
-2.0,1,0.468832
-2.0,1,0.471366
-2.0,1,0.473912
-2.0,1,0.476463
-2.0,1,0.478998
-2.0,1,0.481582
-2.0,1,0.484143
-2.0,1,0.486683
-2.0,1,0.489286
-2.0,1,0.491835
-2.0,1,0.494422
-2.0,1,0.496968
-2.0,1,0.499513
-2.0,1,0.502028
-2.0,1,0.504579
-2.0,1,0.507111
-2.0,1,0.509664
-2.0,1,0.512218
-2.0,1,0.514753
-2.0,1,0.517312
-2.0,1,0.519859
-2.0,1,0.522398
-2.0,1,0.524964
-2.0,1,0.527496
-2.0,1,0.530044
-2.0,1,0.532611
-2.0,1,0.535151
-2.0,1,0.537733
-2.0,1,0.54032
-2.0,1,0.542859
-2.0,1,0.545408
-2.0,1,0.547984
-2.0,1,0.550557
-2.0,1,0.553137
-2.0,1,0.555668
-2.0,1,0.558233
-2.0,1,0.560806
-2.0,1,0.563412
-2.0,1,0.565966
-2.0,1,0.568525
-2.0,1,0.571069
-2.0,1,0.573622
-2.0,1,0.576215
-2.0,1,0.578789
-2.0,1,0.581404
-2.0,1,0.583953
-2.0,1,0.586493
-2.0,1,0.589059
-2.0,1,0.591682
-2.0,1,0.594242
-2.0,1,0.596809
-2.0,1,0.599344
-2.0,1,0.6019
-2.0,1,0.604465
-2.0,1,0.607035
-2.0,1,0.609615
-2.0,1,0.612193
-2.0,1,0.614762
-2.0,1,0.61737
-2.0,1,0.619977
-2.0,1,0.622563
-2.0,1,0.625115
-2.0,1,0.627748
-2.0,1,0.630316
-2.0,1,0.63291
-2.0,1,0.635499
-2.0,1,0.638046
-2.0,1,0.640604
-2.0,1,0.643137
-2.0,1,0.645699
-2.0,1,0.648261
-2.0,1,0.650861
-2.0,1,0.653447
-2.0,1,0.65604
-2.0,1,0.658564
-2.0,1,0.661128
-2.0,1,0.663727
-2.0,1,0.666259
-2.0,1,0.668871
-2.0,1,0.671412
-2.0,1,0.674017
-2.0,1,0.676597
-2.0,1,0.679137
-2.0,1,0.681775
-2.0,1,0.684357
-2.0,1,0.686912
-2.0,1,0.689518
-2.0,1,0.692115
-2.0,1,0.69466
-2.0,1,0.697221
-2.0,1,0.699835
-2.0,1,0.70243
-2.0,1,0.704983
-2.0,1,0.707583
-2.0,1,0.710125
-2.0,1,0.712687
-2.0,1,0.715263
-2.0,1,0.717816
-2.0,1,0.72039
-2.0,1,0.722959
-2.0,1,0.72557
-2.0,1,0.728118
-2.0,1,0.730651
-2.0,1,0.733223
-2.0,1,0.735896
-2.0,1,0.738481
-2.0,1,0.741043
-2.0,1,0.743759
-2.0,1,0.746497
-2.0,1,0.749203
-2.0,1,0.751923
-2.0,1,0.754676
-2.0,1,0.757394
-2.0,1,0.760138
-2.0,1,0.762902
-2.0,1,0.765651
-2.0,1,0.76842
-2.0,1,0.771128
-2.0,1,0.773929
-2.0,1,0.776654
-2.0,1,0.779415
-2.0,1,0.782147
-2.0,1,0.784878
-2.0,1,0.787661
-2.0,1,0.790405
-2.0,1,0.793128
-2.0,1,0.795925
-2.0,1,0.798668
-2.0,1,0.801398
-2.0,1,0.804124
-2.0,1,0.806827
-2.0,1,0.809592
-2.0,1,0.812344
-2.0,1,0.81509
-2.0,1,0.817791
-2.0,1,0.820569
-2.0,1,0.823269
-2.0,1,0.826043
-2.0,1,0.828866
-2.0,1,0.831561
-2.0,1,0.834323
-2.0,1,0.837095
-2.0,1,0.839802
-2.0,1,0.842517
-2.0,1,0.845235
-2.0,1,0.847975
-2.0,1,0.850711
-2.0,1,0.853457
-2.0,1,0.856169
-2.0,1,0.858871
-2.0,1,0.861589
-2.0,1,0.864342
-2.0,1,0.867034
-2.0,1,0.869772
-2.0,1,0.872542
-2.0,1,0.875275
-2.0,1,0.878016
-2.0,1,0.880742
-2.0,1,0.883492
-2.0,1,0.886239
-2.0,1,0.888991
-2.0,1,0.891722
-2.0,1,0.894433
-2.0,1,0.89704
-2.0,1,0.899623
-2.0,1,0.902181
-2.0,1,0.904806
-2.0,1,0.907377
-2.0,1,0.909989
-2.0,1,0.912571
-2.0,1,0.915123
-2.0,1,0.917692
-2.0,1,0.920478
-2.0,1,0.923182
-2.0,1,0.92596
-2.0,1,0.928698
-2.0,1,0.931419
-2.0,1,0.934152
-2.0,1,0.936876
-2.0,1,0.939611
-2.0,1,0.942323
-2.0,1,0.945043
-2.0,1,0.94779
-2.0,1,0.950466
-2.0,1,0.953076
-2.0,1,0.955634
-2.0,1,0.958232
-2.0,1,0.960882
-2.0,1,0.963573
-2.0,1,0.966133
-2.0,1,0.968698
-2.0,1,0.971273
-2.0,1,0.973972
-2.0,1,0.976689
-2.0,1,0.9794
-2.0,1,0.982131
-2.0,1,0.984869
-2.0,1,0.987599
-2.0,1,0.990503
-2.0,1,0.993445
-2.0,1,0.996194
-2.0,1,0.998906
-2.0,1,1.00168
-2.0,1,1.004409
-2.0,1,1.007173
-2.0,1,1.009942
-2.0,1,1.012692
-2.0,1,1.01543
-2.0,1,1.018161
-2.0,1,1.020891
-2.0,1,1.023638
-2.0,1,1.026354
-2.0,1,1.029069
-2.0,1,1.031783
-2.0,1,1.034497
-2.0,1,1.037216
-2.0,1,1.039934
-2.0,1,1.042684
-2.0,1,1.045455
-2.0,1,1.048211
-2.0,1,1.050915
-2.0,1,1.053643
-2.0,1,1.05637
-2.0,1,1.059083
-2.0,1,1.061839
-2.0,1,1.064639
-2.0,1,1.067373
-2.0,1,1.070095
-2.0,1,1.072823
-2.0,1,1.07555
-2.0,1,1.078316
-2.0,1,1.081087
-2.0,1,1.083801
-2.0,1,1.086512
-2.0,1,1.08925
-2.0,1,1.091964
-2.0,1,1.094707
-2.0,1,1.097454
-2.0,1,1.100182
-2.0,1,1.10288
-2.0,1,1.105611
-2.0,1,1.108332
-2.0,1,1.111091
-2.0,1,1.113861
-2.0,1,1.116597
-2.0,1,1.119233
-2.05,2,1.124494
-2.0,1,1.127102
-2.0,1,1.129823
-2.0,1,1.132578
-2.0,1,1.135318
-2.0,1,1.138069
-2.0,1,1.140832
-2.0,1,1.143591
-2.0,1,1.146342
-2.0,1,1.149126
-2.0,1,1.1519
-2.0,1,1.154639
-2.0,1,1.157413
-2.0,1,1.160135
-2.0,1,1.16289
-2.0,1,1.165678
-2.0,1,1.168458
-2.0,1,1.171178
-2.0,1,1.17391
-2.0,1,1.17662
-2.0,1,1.179207
-2.0,1,1.181926
-2.0,1,1.184684
-2.0,1,1.1874
-2.0,1,1.190132
-2.0,1,1.192863
-2.0,1,1.195581
-2.0,1,1.198314
-2.0,1,1.201047
-2.0,1,1.203818
-2.0,1,1.206569
-2.0,1,1.209336
-2.0,1,1.212075
-2.0,1,1.214787
-2.0,1,1.217525
-2.0,1,1.220256
-2.0,1,1.223007
-2.0,1,1.225749
-2.0,1,1.228529
-2.0,1,1.231262
-2.0,1,1.234004
-2.0,1,1.236728
-2.0,1,1.239484
-2.0,1,1.242207
-2.0,1,1.244937
-2.0,1,1.247703
-2.0,1,1.250417
-2.0,1,1.25313
-2.0,1,1.255919
-2.0,1,1.258632
-2.0,1,1.261457
-2.0,1,1.264182
-2.0,1,1.266939
-2.0,1,1.269712
-2.0,1,1.272473
-2.0,1,1.275199
-2.0,1,1.277965
-2.0,1,1.280736
-2.0,1,1.283467
-2.0,1,1.286197
-2.0,1,1.288939
-2.0,1,1.291702
-2.0,1,1.29441
-2.0,1,1.29717
-2.0,1,1.299896
-2.0,1,1.302619
-2.0,1,1.305338
-2.0,1,1.30806
-2.0,1,1.310774
-2.0,1,1.313494
-2.0,1,1.316229
-2.0,1,1.318927
-2.0,1,1.321656
-2.0,1,1.324379
-2.0,1,1.327077
-2.0,1,1.329849
-2.0,1,1.33263
-2.0,1,1.335337
-2.0,1,1.338047
-2.0,1,1.340794
-2.0,1,1.343505
-2.0,1,1.346306
-2.0,1,1.349025
-2.0,1,1.351759
-2.0,1,1.35451
-2.0,1,1.357245
-2.0,1,1.360027
-2.0,1,1.362758
-2.0,1,1.365485
-2.0,1,1.368227
-2.0,1,1.370961
-2.0,1,1.37369
-2.0,1,1.376419
-2.0,1,1.379116
-2.0,1,1.381844
-2.0,1,1.384723
-2.0,1,1.387539
-2.0,1,1.39026
-2.0,1,1.392984
-2.0,1,1.395716
-2.0,1,1.398448
-2.0,1,1.401178
-2.0,1,1.40391
-2.0,1,1.406611
-2.0,1,1.409337
-2.0,1,1.412023
-2.0,1,1.414557
-2.0,1,1.417113
-2.0,1,1.41989
-2.0,1,1.42248
-2.0,1,1.425219
-2.0,1,1.427785
-2.0,1,1.430386
-2.0,1,1.432958
-2.0,1,1.435672
-2.0,1,1.438403
-2.0,1,1.441126
-2.0,1,1.443847
-2.0,1,1.446556
-2.0,1,1.449282
-2.0,1,1.452006
-2.0,1,1.454698
-2.0,1,1.457405
-2.0,1,1.460119
-2.0,1,1.462864
-2.0,1,1.465642
-2.0,1,1.468354
-2.0,1,1.471062
-2.0,1,1.473777
-2.0,1,1.476511
-2.0,1,1.479216
-2.0,1,1.481967
-2.0,1,1.484697
-2.0,1,1.487495
-2.0,1,1.49021
-2.0,1,1.492934
-2.0,1,1.495683
-2.0,1,1.498386
-2.0,1,1.501107
-2.0,1,1.50385
-2.0,1,1.506598
-2.0,1,1.509323
-2.0,1,1.512047
-2.0,1,1.514759
