#{"t_start": 1785395591.012142, "env_id": "None"}
r,l,t
-2.0,1,1.754454
-2.0,1,1.756474
-2.0,1,1.758188
-2.0,1,1.759906
-2.0,1,1.761594
5.0,1,1.763373
-2.0,1,1.764925
-2.0,1,1.766601
-2.0,1,1.768204
-2.0,1,1.769785
-2.0,1,1.771408
-2.0,1,1.773078
-2.0,1,1.774685
-2.0,1,1.776269
-2.0,1,1.77786
-2.0,1,1.779464
-2.0,1,1.781084
-2.0,1,1.782969
-2.0,1,1.78463
-2.0,1,1.78634
-2.0,1,1.787889
-2.0,1,1.789447
-2.0,1,1.791154
-2.0,1,1.792811
-2.0,1,1.794461
-2.0,1,1.7961
-2.0,1,1.797745
-2.0,1,1.799298
-2.0,1,1.800986
-2.0,1,1.80264
-2.0,1,1.804271
-2.0,1,1.805893
-2.0,1,1.807554
-2.0,1,1.809195
-2.0,1,1.810839
-2.0,1,1.81246
-2.0,1,1.814098
-2.0,1,1.815707
-2.0,1,1.8174
-2.0,1,1.819034
-2.0,1,1.820686
-2.0,1,1.822351
-2.0,1,1.82398
-2.0,1,1.82565
-2.0,1,1.827257
-2.0,1,1.828891
-2.0,1,1.830533
-2.0,1,1.83216
-2.0,1,1.833804
-2.0,1,1.835525
-2.0,1,1.8373
-2.0,1,1.839
-2.0,1,1.840712
-2.0,1,1.842415
-2.0,1,1.8441
5.0,1,1.845897
-2.0,1,1.8476
-2.0,1,1.849442
-2.0,1,1.851256
-2.0,1,1.853033
-2.0,1,1.854813
-2.0,1,1.856639
-2.0,1,1.85852
-2.0,1,1.860335
-2.0,1,1.862207
-2.0,1,1.864054
-2.0,1,1.866039
-2.0,1,1.867883
-2.0,1,1.869752
-2.0,1,1.871563
-2.0,1,1.873342
-2.0,1,1.875094
-2.0,1,1.876963
-2.0,1,1.878853
-2.0,1,1.880704
-2.0,1,1.882492
-2.0,1,1.884239
-2.0,1,1.886004
-2.0,1,1.887742
-2.0,1,1.889525
-2.0,1,1.891275
-2.0,1,1.893031
-2.0,1,1.894793
-2.0,1,1.896597
-2.0,1,1.89845
-2.0,1,1.900454
-2.0,1,1.902336
-2.0,1,1.904116
-2.0,1,1.905908
-2.0,1,1.907706
-2.0,1,1.909514
-2.0,1,1.911505
-2.0,1,1.913331
-2.0,1,1.915128
-2.0,1,1.916831
-2.0,1,1.918638
-2.0,1,1.920422
-2.0,1,1.922221
-2.0,1,1.924009
-2.0,1,1.925755
-2.0,1,1.927523
-2.0,1,1.929258
-2.0,1,1.931204
-2.0,1,1.932959
-2.0,1,1.934698
-2.0,1,1.936452
-2.0,1,1.938207
-2.0,1,1.939968
-2.0,1,1.941747
-2.0,1,1.94359
-2.0,1,1.945396
-2.0,1,1.94714
-2.0,1,1.948842
-2.0,1,1.950487
-2.0,1,1.952362
-2.0,1,1.95406
-2.0,1,1.955737
-2.0,1,1.957459
-2.0,1,1.959215
-2.0,1,1.960997
-2.0,1,1.962761
-2.0,1,1.964429
-2.0,1,1.966103
-2.0,1,1.967758
-2.0,1,1.969482
-2.0,1,1.971147
-2.0,1,1.972797
-2.0,1,1.974484
-2.0,1,1.976159
-2.0,1,1.977838
-2.0,1,1.979498
-2.0,1,1.981152
-2.0,1,1.982829
-2.0,1,1.984498
-2.0,1,1.986188
-2.0,1,1.987834
-2.0,1,1.989506
-2.0,1,1.991152
-2.0,1,1.992808
-2.0,1,1.994618
-2.0,1,1.996317
-2.0,1,1.997992
-2.0,1,1.999638
-2.0,1,2.001318
-2.0,1,2.00298
-2.0,1,2.004619
-2.0,1,2.006289
-2.0,1,2.007928
-2.0,1,2.009593
-2.0,1,2.011237
-2.05,2,2.014583
-2.0,1,2.01626
-2.0,1,2.017909
-2.0,1,2.019573
-2.0,1,2.021262
-2.0,1,2.022917
-2.0,1,2.024567
-2.0,1,2.026307
-2.0,1,2.027981
-2.0,1,2.029676
-2.0,1,2.031406
-2.0,1,2.03305
-2.0,1,2.034723
-2.0,1,2.036364
-2.0,1,2.038097
-2.0,1,2.039866
