#{"t_start": 1785394971.9949012, "env_id": "None"}
r,l,t
-2.0,1,0.234096
-2.0,1,0.236365
-2.0,1,0.239383
-2.0,1,0.242236
-2.0,1,0.244803
-2.0,1,0.24693
-2.0,1,0.249002
-2.0,1,0.251132
-2.0,1,0.253145
-2.0,1,0.255216
-2.0,1,0.25725
-2.0,1,0.25924
-2.0,1,0.261351
-2.0,1,0.263773
-2.0,1,0.265978
-2.0,1,0.268163
-2.0,1,0.270304
-2.0,1,0.272603
-2.0,1,0.275124
-2.0,1,0.277298
-2.0,1,0.279428
-2.0,1,0.281515
5.0,1,0.283813
-2.0,1,0.285861
-2.0,1,0.288046
-2.0,1,0.290136
-2.0,1,0.292151
-2.0,1,0.294156
-2.0,1,0.296152
-2.0,1,0.298166
-2.0,1,0.300215
-2.0,1,0.302216
-2.05,2,0.30615
-2.0,1,0.308115
-2.0,1,0.310089
-2.0,1,0.312198
-2.0,1,0.314154
-2.0,1,0.316383
-2.0,1,0.318356
-2.0,1,0.320339
-2.0,1,0.322308
-2.0,1,0.324306
-2.0,1,0.326281
-2.0,1,0.328505
-2.0,1,0.330656
-2.0,1,0.332774
-2.0,1,0.334857
-2.0,1,0.336834
-2.0,1,0.3388
-2.0,1,0.340763
-2.0,1,0.342798
-2.0,1,0.344741
-2.0,1,0.346778
-2.0,1,0.348742
-2.0,1,0.350726
-2.0,1,0.352831
-2.0,1,0.354833
-2.0,1,0.356778
-2.0,1,0.359196
-2.0,1,0.361292
-2.0,1,0.363508
-2.0,1,0.365631
-2.0,1,0.36778
-2.0,1,0.36986
-2.0,1,0.37197
-2.0,1,0.374071
-2.0,1,0.376182
-2.0,1,0.378227
-2.0,1,0.380216
-2.0,1,0.382168
-2.0,1,0.38415
-2.0,1,0.386113
-2.0,1,0.388092
-2.0,1,0.390068
-2.0,1,0.392187
-2.0,1,0.394182
-2.0,1,0.396162
-2.0,1,0.398168
-2.0,1,0.400163
-2.0,1,0.402351
-2.0,1,0.404353
-2.0,1,0.406299
-2.0,1,0.40826
-2.0,1,0.410266
-2.0,1,0.412269
-2.0,1,0.414244
-2.0,1,0.416229
-2.0,1,0.418198
-2.0,1,0.420161
-2.0,1,0.422117
-2.0,1,0.424077
-2.0,1,0.42604
-2.0,1,0.427993
-2.0,1,0.429994
-2.0,1,0.43198
-2.0,1,0.433954
-2.0,1,0.435949
-2.0,1,0.437932
-2.0,1,0.439896
-2.0,1,0.44185
-2.0,1,0.444061
-2.0,1,0.446093
-2.0,1,0.448093
-2.0,1,0.450071
-2.0,1,0.452032
-2.0,1,0.45404
-2.0,1,0.456023
-2.0,1,0.458028
-2.0,1,0.460023
-2.0,1,0.461988
-2.0,1,0.464025
-2.0,1,0.466014
-2.0,1,0.467974
-2.0,1,0.469967
-2.0,1,0.471938
-2.0,1,0.473992
-2.0,1,0.476006
-2.0,1,0.477996
-2.0,1,0.480011
-2.0,1,0.482028
-2.0,1,0.484088
-2.0,1,0.486233
-2.0,1,0.488284
