#{"t_start": 1785394324.4988425, "env_id": "None"}
r,l,t
-2.0,1,1.695605
-2.0,1,1.697086
-2.05,2,1.700017
-2.05,2,1.703007
-2.0,1,1.704382
-2.0,1,1.70575
-2.0,1,1.70709
5.0,1,1.708448
5.0,1,1.709723
4.75,2,1.712296
5.0,1,1.713641
-2.0,1,1.71632
-2.0,1,1.717627
-2.0,1,1.718998
5.0,1,1.720375
-2.05,2,1.723008
-2.0,1,1.724351
-2.05,2,1.72696
-2.0,1,1.728258
-2.05,2,1.730913
-2.0,1,1.732157
-2.0,1,1.733441
-2.0,1,1.73474
-2.0,1,1.736089
-2.0,1,1.737432
-2.0,1,1.738817
-2.0,1,1.740126
-2.05,2,1.7427
-2.0,1,1.743996
-2.0,1,1.745337
-2.0,1,1.746661
5.0,1,1.747944
-2.0,1,1.749193
-2.0,1,1.750487
-2.05,2,1.753089
5.0,1,1.754396
-2.0,1,1.755675
-2.05,2,1.758265
-2.0,1,1.759585
-2.05,2,1.762168
-2.05,2,1.764732
-2.05,2,1.767329
-2.0,1,1.768637
4.75,2,1.771233
-2.0,1,1.772482
-2.0,1,1.773835
-2.0,1,1.775481
-2.0,1,1.77691
4.75,2,1.779504
-2.0,1,1.78084
5.0,1,1.782132
-2.0,1,1.783371
-2.05,2,1.785887
5.0,1,1.787209
-2.0,1,1.788591
-2.0,1,1.789896
-2.0,1,1.791209
5.0,1,1.792497
5.0,1,1.79372
5.0,1,1.794996
5.0,1,1.796269
-2.0,1,1.797477
-2.0,1,1.798735
-2.05,2,1.801187
-2.0,1,1.80239
5.0,1,1.803672
5.0,1,1.804881
-2.0,1,1.806061
-2.05,2,1.808523
-2.0,1,1.809731
-2.0,1,1.810945
-2.0,1,1.812208
5.0,1,1.813569
-2.0,1,1.814838
-2.05,2,1.817384
-2.0,1,1.818616
-2.0,1,1.820006
5.0,1,1.821303
-2.0,1,1.822529
-2.0,1,1.823777
-2.05,2,1.826326
-2.0,1,1.827636
-2.0,1,1.828962
-2.0,1,1.830412
-2.05,2,1.833019
-2.0,1,1.834337
-2.0,1,1.835666
-2.0,1,1.836944
-2.0,1,1.838217
-2.0,1,1.83951
5.0,1,1.840872
-2.0,1,1.84216
-2.0,1,1.843516
-2.0,1,1.84485
5.0,1,1.846134
5.0,1,1.84744
-2.0,1,1.848746
-2.05,2,1.851386
-2.0,1,1.852787
5.0,1,1.854224
-2.05,2,1.856967
-2.0,1,1.858358
-2.0,1,1.859646
-2.0,1,1.860997
5.0,1,1.862357
-2.0,1,1.863663
-2.0,1,1.865004
-2.0,1,1.866335
-2.05,2,1.869044
-2.05,2,1.871804
-2.0,1,1.873262
-2.05,2,1.875965
-2.0,1,1.87733
-2.0,1,1.87866
-2.0,1,1.880002
-2.0,1,1.881366
-2.0,1,1.882795
-2.0,1,1.884186
5.0,1,1.88554
-2.0,1,1.886894
5.0,1,1.888178
5.0,1,1.889476
5.0,1,1.89082
5.0,1,1.892215
-2.0,1,1.893515
-2.0,1,1.894861
-2.0,1,1.89619
-2.0,1,1.897508
-2.0,1,1.898902
-2.05,2,1.901742
5.0,1,1.903159
-2.0,1,1.904516
-2.0,1,1.905866
-2.0,1,1.90725
-2.0,1,1.90861
-2.0,1,1.910042
-2.0,1,1.91143
-2.0,1,1.912846
-2.05,2,1.915792
-2.0,1,1.91716
-2.0,1,1.918514
5.0,1,1.920004
-2.0,1,1.92138
-2.05,2,1.924148
-2.0,1,1.925511
4.75,2,1.928292
-2.0,1,1.929636
-2.0,1,1.931049
-2.0,1,1.932444
5.0,1,1.933827
-2.0,1,1.935209
-2.0,1,1.936725
-2.0,1,1.938021
5.0,1,1.939402
-2.0,1,1.9407
-2.0,1,1.94204
-2.05,2,1.944692
-2.0,1,1.946042
-2.0,1,1.947377
-2.0,1,1.948757
-2.05,2,1.951439
-2.0,1,1.95282
-2.0,1,1.954147
-2.0,1,1.955511
4.75,2,1.95819
4.75,2,1.960914
5.0,1,1.962245
5.0,1,1.963633
-2.0,1,1.964934
5.0,1,1.966285
5.0,1,1.967597
-2.05,2,1.970256
-2.0,1,1.971635
-2.0,1,1.973021
-2.0,1,1.974361
-2.0,1,1.9765
-2.0,1,1.977835
-2.0,1,1.979158
-2.0,1,1.98055
-2.0,1,1.981984
-2.0,1,1.983345
-2.0,1,1.984737
4.75,2,1.987677
4.75,2,1.990494
-2.0,1,1.991814
-2.0,1,1.993181
-2.0,1,1.994552
-2.05,2,1.99738
-2.0,1,1.998816
-2.0,1,2.000201
-2.0,1,2.001635
-2.0,1,2.00305
-2.0,1,2.004467
