#{"t_start": 1785826417.4484243, "env_id": "None"}
r,l,t
4.75,2,0.179222
5.0,1,0.183558
4.75,2,0.191374
4.75,2,0.198549
5.0,1,0.203642
5.0,1,0.208566
4.75,2,0.215567
5.0,1,0.219111
4.75,2,0.228103
4.75,2,0.235733
5.0,1,0.239207
4.75,2,0.24666
5.0,1,0.250293
5.0,1,0.254778
5.0,1,0.259801
5.0,1,0.264019
4.75,2,0.272288
4.75,2,0.280001
5.0,1,0.284897
5.0,1,0.289103
4.75,2,0.302443
3.8,17,0.36068
6.0,1,0.363882
4.75,2,0.370121
4.75,10,0.402056
5.0,1,0.405758
5.75,2,0.412229
-3.85,18,0.483876
5.1,7,0.514151
5.75,6,0.542465
6.0,1,0.546255
5.85,4,0.55954
5.0,1,0.562795
3.5,15,0.621109
5.0,1,0.625328
4.9,11,0.661315
6.0,1,0.666095
-4.05,18,0.74264
5.0,1,0.747786
4.5,11,0.784396
5.0,1,0.787498
4.75,2,0.794241
4.3,11,0.841995
5.65,4,0.856672
4.75,2,0.863051
-4.25,18,0.919197
5.95,2,0.926144
5.0,1,0.929363
5.0,1,0.933829
5.9,3,0.945773
5.2,5,0.96211
5.0,1,0.968081
5.25,8,0.993423
4.0,13,1.042597
4.75,2,1.049886
5.75,2,1.056022
4.35,14,1.111174
4.1,15,1.174751
-4.95,32,1.303318
-4.75,32,1.410964
7.05,12,1.471157
6.6,17,1.559029
4.5,11,1.613662
4.75,2,1.622024
5.0,1,1.625769
-4.95,32,1.769223
6.0,1,1.77247
5.0,1,1.776006
6.1,15,1.835874
-3.95,32,1.970661
7.9,3,1.981656
6.85,20,2.058667
-4.35,32,2.196721
4.75,2,2.205734
-6.35,32,2.338411
-4.55,32,2.459146
5.0,1,2.462275
7.75,2,2.469963
4.75,2,2.476715
-4.35,32,2.591625
-4.35,32,2.71761
5.75,2,2.72475
4.75,2,2.732437
4.75,2,2.744059
5.3,23,2.886962
6.55,18,3.243049
8.0,1,3.247622
-4.15,32,3.464598
7.75,6,3.484802
6.8,13,3.523236
-4.95,32,3.617589
6.4,17,3.669953
-4.95,32,3.774663
-4.55,32,3.869179
7.85,4,3.881375
-4.35,32,3.994937
7.8,5,4.017812
-5.35,32,4.154379
7.75,2,4.160707
-4.15,32,4.262898
5.9,3,4.272117
5.1,23,4.342908
7.3,11,4.375271
8.0,1,4.378581
7.95,2,4.386524
-4.75,32,6.760098
7.9,3,6.771226
6.5,15,6.825065
7.85,4,6.838478
5.75,22,6.914824
7.9,3,6.923211
5.15,6,6.940102
6.0,1,6.943083
4.75,2,6.948833
5.75,6,6.966408
7.9,3,6.976586
5.75,2,6.989203
5.65,24,7.080693
6.25,20,7.146001
7.65,8,7.170791
7.3,11,7.204657
-4.95,32,7.317438
5.9,19,7.384177
4.75,2,7.391626
5.95,2,7.397237
5.0,1,7.400573
6.8,9,7.428471
4.75,2,7.434439
5.1,7,7.454147
5.0,1,7.457075
5.0,1,7.459948
7.75,2,7.46807
8.0,1,7.471396
4.1,23,7.540815
7.85,4,7.55254
6.15,14,7.591913
8.0,1,7.594906
-6.85,50,7.798724
-6.05,50,7.973487
-5.65,50,8.143705
5.0,1,8.147171
7.5,31,8.26496
-6.25,50,8.441242
8.1,23,8.511805
5.65,4,8.524585
7.3,7,8.550489
-5.05,50,8.695211
6.6,33,8.793401
5.95,2,8.799196
7.85,12,8.832799
-5.25,50,8.977993
9.85,4,8.990809
-5.25,50,9.146786
5.65,4,9.157668
4.75,2,9.163202
9.0,13,9.198773
-6.45,50,9.339011
5.9,39,9.456792
5.0,1,9.459937
9.4,9,9.489496
4.7,11,9.527295
-7.25,50,9.677454
4.75,2,9.68407
-6.05,50,9.833631
7.0,33,9.929702
5.9,3,9.938636
6.0,1,9.941513
7.25,36,12.27819
9.15,10,12.325186
-6.25,50,12.493931
6.55,30,12.594091
9.4,9,12.620877
5.0,1,12.624103
4.7,7,12.648678
7.85,16,12.707505
6.95,30,12.800533
9.1,11,12.83444
6.9,23,12.899948
7.5,7,12.919846
5.0,1,12.922915
5.95,2,12.930006
8.2,17,12.995147
8.4,17,13.057641
4.35,46,13.200305
8.95,10,13.234597
8.75,14,13.279247
-6.85,50,13.453538
7.85,20,13.511163
5.75,2,13.517043
-5.85,50,13.694047
6.55,22,13.768311
6.0,1,13.771523
7.05,12,13.808499
5.9,3,13.822845
7.4,25,13.903885
5.7,35,14.011831
-5.25,50,14.170272
5.95,2,14.176299
4.75,2,14.1826
8.8,13,14.229504
6.9,7,14.251335
8.75,10,14.293225
6.35,42,14.435962
8.2,13,14.488539
7.75,6,14.511486
5.65,36,14.615655
8.0,13,14.655784
8.25,20,14.716103
8.2,17,14.764273
9.8,5,14.779985
9.05,12,14.814634
9.8,5,14.829423
8.05,24,14.902749
6.65,32,14.992109
7.85,12,15.028653
9.1,11,15.05988
5.75,2,15.065887
8.0,17,15.116929
5.0,1,15.120006
8.0,1,15.123145
6.4,13,15.163137
-6.45,50,15.331143
9.8,5,15.351568
6.0,1,15.354813
9.7,7,15.386182
8.2,17,15.437697
5.45,48,17.937911
5.75,2,17.944542
7.0,25,18.021775
9.6,5,18.0368
8.7,11,18.067364
7.8,5,18.082022
9.15,10,18.118507
4.75,2,18.125152
9.9,3,18.134455
4.75,2,18.140635
10.0,1,18.14435
7.3,27,18.231006
8.85,16,18.293121
9.4,5,18.310205
7.95,2,18.318173
8.9,11,18.353731
7.55,6,18.373643
6.0,1,18.376818
4.75,2,18.383744
7.9,3,18.392525
9.6,9,18.435295
7.15,10,18.471032
5.9,3,18.483023
5.9,3,18.497468
5.95,2,18.503919
8.0,1,18.506988
5.75,2,18.513138
8.35,14,18.568056
6.0,1,18.572064
7.6,5,18.595803
5.0,1,18.600669
9.0,17,18.659589
4.75,2,18.665969
9.7,7,18.687306
9.5,7,18.707018
8.85,12,18.748605
9.7,7,18.775632
6.8,29,18.871632
4.75,2,18.877661
5.0,1,18.882892
11.4,9,18.951578
-7.15,72,19.184988
8.75,30,19.303275
8.95,30,19.414671
5.95,2,19.425453
10.25,24,19.518499
5.0,1,19.521773
11.7,7,19.548001
8.5,35,19.675715
7.35,6,19.69949
9.9,23,19.793201
9.3,27,19.903988
8.05,40,20.080528
7.5,47,20.24973
5.0,1,20.253775
9.55,30,20.364514
5.0,1,20.36885
-8.95,72,20.612458
9.45,28,20.713967
7.45,4,20.728916
10.8,9,20.764459
8.5,35,20.877121
5.75,2,20.884199
8.9,11,20.923767
7.15,46,21.06882
4.75,2,21.075022
9.1,31,21.182233
4.75,2,21.188253
