#{"t_start": 1785392322.0383856, "env_id": "None"}
r,l,t
-2.0,1,1.32128
-2.0,1,1.322586
-2.0,1,1.323716
-2.0,1,1.324855
-2.0,1,1.325946
-2.0,1,1.327054
-2.0,1,1.328148
-2.0,1,1.329234
-2.0,1,1.330276
-2.0,1,1.331322
-2.0,1,1.332398
-2.0,1,1.333551
-2.0,1,1.335719
-2.0,1,1.336805
-2.0,1,1.337865
-2.0,1,1.338941
5.0,1,1.340063
-2.0,1,1.341077
-2.0,1,1.342101
-2.0,1,1.343179
-2.0,1,1.344228
-2.0,1,1.345299
-2.0,1,1.346372
-2.0,1,1.347442
-2.0,1,1.348487
-2.0,1,1.349534
-2.05,2,1.351599
-2.0,1,1.352679
-2.0,1,1.353748
-2.0,1,1.354813
-2.0,1,1.355908
-2.0,1,1.35697
-2.0,1,1.358014
-2.0,1,1.359132
5.0,1,1.360248
-2.0,1,1.361264
-2.0,1,1.362308
-2.0,1,1.363376
-2.0,1,1.364423
-2.0,1,1.365525
-2.0,1,1.366574
-2.0,1,1.367636
-2.0,1,1.36869
-2.0,1,1.369756
-2.0,1,1.370802
-2.0,1,1.37183
-2.0,1,1.372845
-2.0,1,1.373862
-2.0,1,1.37489
-2.0,1,1.375917
-2.0,1,1.37693
-2.0,1,1.37798
-2.0,1,1.37909
-2.0,1,1.380119
-2.0,1,1.38117
-2.0,1,1.382217
-2.0,1,1.383282
-2.0,1,1.384354
-2.0,1,1.385405
-2.0,1,1.386462
-2.0,1,1.387534
-2.0,1,1.38859
-2.0,1,1.389608
-2.0,1,1.390637
-2.0,1,1.391682
-2.0,1,1.3927
-2.0,1,1.393715
-2.0,1,1.39473
-2.0,1,1.395768
-2.0,1,1.396784
-2.0,1,1.3978
-2.0,1,1.398822
-2.0,1,1.399851
-2.0,1,1.400876
-2.0,1,1.401942
-2.0,1,1.402999
-2.0,1,1.404061
-2.0,1,1.405114
-2.0,1,1.406168
-2.0,1,1.407232
-2.0,1,1.408284
-2.0,1,1.409337
-2.0,1,1.41038
-2.0,1,1.41145
5.0,1,1.412578
-2.0,1,1.413628
-2.0,1,1.414675
-2.0,1,1.415732
-2.0,1,1.41678
-2.0,1,1.417839
-2.0,1,1.418888
-2.0,1,1.419948
-2.0,1,1.421
-2.0,1,1.422054
-2.0,1,1.423124
-2.0,1,1.424174
-2.0,1,1.425237
-2.0,1,1.426277
-2.0,1,1.427377
-2.0,1,1.428462
-2.0,1,1.429512
-2.0,1,1.430563
-2.0,1,1.431623
-2.0,1,1.432667
-2.0,1,1.433723
-2.0,1,1.434789
-2.0,1,1.435881
-2.0,1,1.436975
-2.0,1,1.438064
-2.0,1,1.439133
-2.0,1,1.440189
-2.0,1,1.441282
-2.0,1,1.44236
-2.0,1,1.443465
-2.0,1,1.444584
-2.0,1,1.445674
-2.0,1,1.446757
-2.0,1,1.44786
-2.0,1,1.448969
-2.0,1,1.450055
5.0,1,1.451193
-2.0,1,1.452249
-2.0,1,1.453335
-2.0,1,1.454425
-2.0,1,1.45553
-2.0,1,1.456666
-2.0,1,1.457797
-2.0,1,1.459002
-2.0,1,1.460129
-2.0,1,1.461224
-2.0,1,1.462319
-2.0,1,1.463416
-2.0,1,1.464506
-2.0,1,1.465599
-2.0,1,1.466693
-2.0,1,1.467792
-2.0,1,1.468883
-2.0,1,1.469975
-2.0,1,1.471071
-2.0,1,1.472163
-2.0,1,1.473258
-2.0,1,1.474347
-2.0,1,1.475459
-2.0,1,1.476541
-2.0,1,1.477636
-2.0,1,1.478722
-2.0,1,1.479822
-2.0,1,1.480907
-2.0,1,1.481997
-2.0,1,1.483093
-2.0,1,1.484185
-2.0,1,1.485279
-2.0,1,1.486512
-2.0,1,1.487682
-2.0,1,1.488767
-2.0,1,1.489856
-2.0,1,1.490942
-2.0,1,1.49204
-2.0,1,1.493126
-2.0,1,1.494211
-2.0,1,1.495317
-2.0,1,1.496403
-2.0,1,1.497491
-2.0,1,1.49858
-2.0,1,1.499681
-2.0,1,1.50077
-2.0,1,1.501856
-2.0,1,1.502977
-2.0,1,1.504111
-2.0,1,1.505202
-2.0,1,1.506291
-2.0,1,1.507391
-2.0,1,1.508521
-2.0,1,1.509614
-2.0,1,1.510699
-2.0,1,1.511795
-2.0,1,1.51288
-2.0,1,1.513968
-2.0,1,1.515063
-2.0,1,1.516161
-2.0,1,1.517243
-2.0,1,1.518337
-2.0,1,1.519445
-2.0,1,1.52053
-2.0,1,1.521617
-2.05,2,1.523808
-2.0,1,1.524904
-2.05,2,1.527109
-2.0,1,1.528197
-2.0,1,1.52936
-2.0,1,1.530485
-2.0,1,1.531642
-2.0,1,1.532806
-2.0,1,1.533964
-2.0,1,1.535076
-2.0,1,1.536172
-2.0,1,1.537296
-2.0,1,1.538424
-2.0,1,1.539541
-2.0,1,1.540628
-2.0,1,1.541756
-2.0,1,1.542843
-2.0,1,1.54394
-2.0,1,1.545029
-2.0,1,1.546117
-2.0,1,1.547213
-2.0,1,1.548311
-2.0,1,1.549403
-2.0,1,1.550488
-2.0,1,1.551597
-2.0,1,1.552695
-2.0,1,1.55378
-2.0,1,1.554867
-2.0,1,1.555962
-2.0,1,1.557045
-2.0,1,1.558131
-2.0,1,1.559238
-2.0,1,1.560323
-2.0,1,1.561411
-2.0,1,1.562538
-2.0,1,1.563664
-2.0,1,1.56476
-2.0,1,1.565853
-2.0,1,1.566952
5.0,1,1.568087
-2.0,1,1.56915
-2.0,1,1.570239
-2.0,1,1.571401
-2.0,1,1.57263
-2.0,1,1.573813
-2.0,1,1.574996
-2.0,1,1.576382
-2.0,1,1.577509
-2.0,1,1.578642
-2.0,1,1.579744
-2.0,1,1.580827
-2.0,1,1.58191
-2.0,1,1.583002
-2.0,1,1.584141
-2.0,1,1.58526
-2.0,1,1.586378
-2.0,1,1.587513
-2.0,1,1.588643
-2.0,1,1.589774
-2.0,1,1.590897
-2.0,1,1.592029
-2.0,1,1.593155
-2.0,1,1.594278
-2.0,1,1.595417
-2.0,1,1.596541
-2.0,1,1.597679
-2.0,1,1.598811
-2.0,1,1.599952
-2.0,1,1.601087
-2.0,1,1.602207
-2.0,1,1.603352
-2.0,1,1.604469
-2.0,1,1.605592
-2.0,1,1.606729
-2.0,1,1.607862
-2.0,1,1.608987
-2.0,1,1.610145
-2.0,1,1.6113
-2.0,1,1.613501
-2.0,1,1.615497
-2.0,1,1.617846
-2.0,1,1.619756
-2.0,1,1.621243
-2.0,1,1.622887
-2.0,1,1.624239
-2.0,1,1.625459
-2.0,1,1.626739
-2.0,1,1.628288
-2.0,1,1.629874
-2.0,1,1.632186
-2.0,1,1.633755
-2.0,1,1.635224
-2.0,1,1.636641
-2.0,1,1.637892
-2.0,1,1.639379
-2.0,1,1.640712
-2.0,1,1.641873
-2.0,1,1.643167
-2.0,1,1.644302
-2.0,1,1.645433
-2.0,1,1.646586
-2.0,1,1.647839
-2.0,1,1.649141
-2.0,1,1.650462
-2.0,1,1.651666
-2.0,1,1.652927
-2.0,1,1.654044
5.0,1,1.655213
-2.0,1,1.656314
-2.0,1,1.657663
-2.0,1,1.659332
-2.0,1,1.660937
-2.0,1,1.662466
-2.0,1,1.663782
-2.0,1,1.664968
-2.0,1,1.666132
-2.0,1,1.667339
-2.0,1,1.668548
-2.0,1,1.669748
-2.0,1,1.671061
-2.0,1,1.67222
-2.0,1,1.673354
-2.0,1,1.674481
-2.0,1,1.675599
-2.0,1,1.676803
-2.0,1,1.677998
-2.0,1,1.679126
-2.0,1,1.680247
-2.0,1,1.681354
-2.0,1,1.682465
-2.0,1,1.683589
-2.0,1,1.684717
-2.0,1,1.685852
-2.0,1,1.687051
-2.0,1,1.688169
-2.0,1,1.689324
-2.0,1,1.690746
-2.0,1,1.691966
-2.0,1,1.693161
-2.0,1,1.694402
-2.0,1,1.695629
-2.0,1,1.696856
-2.0,1,1.698079
-2.0,1,1.699329
-2.0,1,1.700559
-2.0,1,1.701839
-2.05,2,1.704246
-2.0,1,1.705494
-2.0,1,1.706743
-2.0,1,1.70801
-2.0,1,1.709254
-2.0,1,1.710515
-2.0,1,1.711766
-2.0,1,1.713038
-2.0,1,1.714328
-2.0,1,1.715584
-2.0,1,1.716832
-2.0,1,1.718076
-2.0,1,1.719337
-2.0,1,1.720582
-2.0,1,1.721844
-2.0,1,1.72315
-2.0,1,1.724436
-2.0,1,1.725682
-2.0,1,1.726937
-2.0,1,1.728189
-2.0,1,1.729441
-2.0,1,1.730686
-2.0,1,1.731953
-2.0,1,1.733196
-2.0,1,1.734483
-2.0,1,1.735774
-2.0,1,1.737017
-2.0,1,1.738256
-2.0,1,1.739515
-2.0,1,1.740752
-2.0,1,1.741996
-2.0,1,1.743264
-2.0,1,1.744465
-2.0,1,1.745666
-2.0,1,1.74691
-2.0,1,1.748164
-2.0,1,1.749406
-2.0,1,1.750613
-2.0,1,1.751833
-2.0,1,1.753096
-2.0,1,1.754367
-2.0,1,1.75564
-2.0,1,1.756971
-2.0,1,1.758228
-2.0,1,1.759505
-2.0,1,1.760755
-2.0,1,1.762041
-2.0,1,1.763359
-2.0,1,1.764625
-2.0,1,1.765901
-2.0,1,1.767185
-2.0,1,1.768449
-2.0,1,1.769765
-2.0,1,1.771081
-2.0,1,1.772343
-2.0,1,1.773604
-2.0,1,1.774864
-2.0,1,1.776132
-2.0,1,1.777404
-2.0,1,1.77871
-2.0,1,1.78005
-2.0,1,1.781373
-2.0,1,1.782629
-2.0,1,1.783913
-2.0,1,1.785243
-2.0,1,1.786606
-2.0,1,1.787837
-2.0,1,1.78897
-2.0,1,1.790108
-2.0,1,1.791203
-2.0,1,1.792285
-2.0,1,1.793366
-2.0,1,1.794448
-2.0,1,1.79555
-2.0,1,1.796663
-2.0,1,1.798078
-2.0,1,1.79931
-2.0,1,1.800623
-2.0,1,1.801981
-2.0,1,1.803276
-2.0,1,1.804439
-2.0,1,1.805672
-2.0,1,1.806813
-2.0,1,1.807985
-2.0,1,1.809123
-2.0,1,1.810239
-2.0,1,1.811376
-2.0,1,1.8126
-2.0,1,1.813684
-2.0,1,1.814793
