#{"t_start": 1785394874.9825957, "env_id": "None"}
r,l,t
-2.0,1,0.271203
-2.0,1,0.273359
-2.0,1,0.275871
-2.0,1,0.277876
-2.0,1,0.280236
-2.0,1,0.283013
-2.0,1,0.285138
-2.0,1,0.287421
-2.0,1,0.289667
-2.0,1,0.291901
-2.0,1,0.294311
-2.0,1,0.296578
-2.0,1,0.298802
-2.0,1,0.300935
-2.0,1,0.303067
-2.0,1,0.305134
-2.0,1,0.307144
-2.0,1,0.309192
-2.0,1,0.311245
-2.0,1,0.3133
-2.0,1,0.315406
-2.0,1,0.317458
-2.0,1,0.319545
-2.0,1,0.321578
-2.0,1,0.323664
-2.0,1,0.325658
-2.0,1,0.327715
-2.0,1,0.329788
-2.0,1,0.331847
-2.0,1,0.333897
-2.0,1,0.33592
-2.0,1,0.337965
-2.0,1,0.340037
-2.0,1,0.342087
-2.0,1,0.344147
-2.0,1,0.346554
-2.0,1,0.348557
-2.0,1,0.350569
-2.0,1,0.352554
-2.0,1,0.354482
-2.0,1,0.356625
-2.0,1,0.358569
-2.0,1,0.36052
-2.0,1,0.362503
-2.0,1,0.364499
-2.0,1,0.366461
-2.0,1,0.368469
-2.0,1,0.370506
-2.0,1,0.372504
-2.0,1,0.374489
-2.0,1,0.376565
-2.0,1,0.378519
-2.0,1,0.38053
-2.0,1,0.382519
-2.0,1,0.384508
-2.0,1,0.386434
-2.0,1,0.388623
-2.0,1,0.390554
-2.0,1,0.392566
-2.0,1,0.394516
-2.0,1,0.39649
-2.0,1,0.398427
-2.0,1,0.400362
-2.05,2,0.404274
-2.0,1,0.406228
-2.0,1,0.408186
-2.0,1,0.410187
-2.0,1,0.41217
-2.0,1,0.414088
-2.0,1,0.416072
-2.0,1,0.418177
-2.0,1,0.42014
-2.0,1,0.42205
-2.0,1,0.424052
-2.0,1,0.425992
-2.0,1,0.427999
-2.0,1,0.429937
-2.0,1,0.431936
-2.0,1,0.4339
-2.0,1,0.435876
-2.0,1,0.437819
-2.0,1,0.439762
-2.0,1,0.441714
-2.0,1,0.44365
-2.0,1,0.445593
-2.0,1,0.447524
-2.0,1,0.449487
-2.0,1,0.451572
-2.05,2,0.455656
-2.0,1,0.457638
-2.0,1,0.459661
-2.0,1,0.461676
-2.0,1,0.463677
-2.0,1,0.465665
-2.0,1,0.467663
-2.0,1,0.469636
-2.0,1,0.471642
-2.0,1,0.473823
-2.05,2,0.477642
-2.0,1,0.479598
-2.0,1,0.481561
-2.0,1,0.483505
-2.0,1,0.485427
-2.0,1,0.487393
-2.0,1,0.48932
-2.0,1,0.491325
-2.0,1,0.493235
-2.0,1,0.49521
-2.0,1,0.497114
-2.0,1,0.499076
-2.0,1,0.501023
-2.0,1,0.503056
-2.0,1,0.50499
-2.0,1,0.506961
-2.0,1,0.508875
-2.0,1,0.510793
5.0,1,0.512756
-2.0,1,0.514661
-2.0,1,0.516939
-2.0,1,0.518901
-2.0,1,0.520876
-2.0,1,0.522778
-2.0,1,0.52471
-2.0,1,0.52675
-2.0,1,0.528733
-2.0,1,0.530703
-2.0,1,0.532661
-2.0,1,0.53456
-2.0,1,0.536536
-2.0,1,0.538451
-2.0,1,0.540358
-2.0,1,0.542334
-2.0,1,0.544309
-2.0,1,0.546246
-2.0,1,0.548164
-2.0,1,0.550061
-2.0,1,0.551973
-2.0,1,0.553943
-2.0,1,0.55591
-2.0,1,0.557824
-2.0,1,0.559813
-2.0,1,0.561739
-2.0,1,0.563665
-2.0,1,0.565557
-2.0,1,0.567519
-2.0,1,0.56946
-2.0,1,0.571438
-2.0,1,0.573325
-2.0,1,0.575285
-2.0,1,0.577337
-2.0,1,0.579302
-2.0,1,0.581203
-2.0,1,0.583232
-2.0,1,0.585165
-2.0,1,0.587096
-2.0,1,0.58899
-2.0,1,0.590965
-2.0,1,0.592981
-2.0,1,0.594953
-2.0,1,0.596892
-2.0,1,0.598851
-2.0,1,0.600843
-2.0,1,0.602855
-2.0,1,0.604908
-2.0,1,0.606875
-2.0,1,0.608786
-2.0,1,0.610719
4.75,2,0.614637
-2.0,1,0.616535
-2.0,1,0.618435
-2.0,1,0.620401
-2.0,1,0.622328
-2.0,1,0.624291
-2.0,1,0.626215
-2.0,1,0.628271
-2.0,1,0.630368
-2.0,1,0.632316
-2.0,1,0.634214
-2.0,1,0.636149
-2.0,1,0.638091
-2.0,1,0.640054
-2.0,1,0.642015
-2.0,1,0.644078
-2.0,1,0.645965
-2.0,1,0.647947
-2.0,1,0.649886
-2.0,1,0.651912
-2.0,1,0.653904
-2.0,1,0.655823
-2.0,1,0.657728
-2.0,1,0.659696
-2.0,1,0.661654
-2.0,1,0.663605
-2.0,1,0.665511
-2.0,1,0.667485
-2.0,1,0.669486
-2.0,1,0.671467
-2.0,1,0.6734
-2.0,1,0.675335
-2.0,1,0.677192
-2.0,1,0.679195
-2.0,1,0.68114
-2.0,1,0.6831
-2.0,1,0.684997
-2.0,1,0.687148
-2.0,1,0.68909
-2.0,1,0.691121
-2.0,1,0.693039
-2.0,1,0.694993
-2.0,1,0.696935
-2.0,1,0.698872
-2.0,1,0.700843
-2.0,1,0.702777
-2.0,1,0.704827
-2.0,1,0.70678
-2.0,1,0.708734
-2.0,1,0.710662
-2.0,1,0.712595
-2.0,1,0.714559
-2.05,2,0.718483
-2.0,1,0.720436
-2.0,1,0.722387
-2.0,1,0.724353
-2.0,1,0.726313
-2.0,1,0.728251
-2.0,1,0.730392
-2.0,1,0.732384
-2.0,1,0.734341
-2.0,1,0.736316
-2.0,1,0.738182
-2.0,1,0.740151
-2.0,1,0.742105
-2.0,1,0.744055
-2.0,1,0.745965
-2.0,1,0.747929
-2.0,1,0.74993
-2.0,1,0.751898
-2.0,1,0.753797
-2.0,1,0.755753
-2.0,1,0.757677
-2.0,1,0.759627
-2.0,1,0.761589
-2.0,1,0.763574
-2.0,1,0.765482
-2.0,1,0.767483
-2.0,1,0.769428
-2.0,1,0.771526
-2.0,1,0.773581
-2.0,1,0.775547
-2.0,1,0.777505
-2.0,1,0.779463
-2.0,1,0.781411
-2.0,1,0.783376
-2.0,1,0.785324
-2.0,1,0.787249
-2.0,1,0.789176
-2.0,1,0.791126
-2.0,1,0.793065
-2.0,1,0.795002
-2.0,1,0.796937
-2.0,1,0.798883
-2.0,1,0.800849
-2.0,1,0.802764
-2.0,1,0.804723
-2.0,1,0.806668
-2.0,1,0.808613
-2.0,1,0.810602
-2.0,1,0.812532
-2.0,1,0.814529
-2.0,1,0.816721
-2.0,1,0.818621
-2.0,1,0.820535
-2.0,1,0.822484
5.0,1,0.82448
-2.0,1,0.826434
-2.0,1,0.82838
-2.0,1,0.830379
-2.0,1,0.832317
-2.0,1,0.834235
-2.0,1,0.836167
-2.0,1,0.838122
-2.0,1,0.840091
-2.0,1,0.842046
-2.0,1,0.84402
-2.0,1,0.845964
-2.0,1,0.84794
-2.0,1,0.849893
-2.0,1,0.851843
-2.0,1,0.853773
-2.0,1,0.855785
-2.0,1,0.857749
-2.0,1,0.859768
-2.0,1,0.861703
-2.0,1,0.863665
-2.0,1,0.865632
-2.0,1,0.867594
-2.0,1,0.869535
-2.0,1,0.871482
-2.0,1,0.873428
-2.0,1,0.875382
-2.0,1,0.877375
-2.0,1,0.879339
-2.0,1,0.881336
-2.0,1,0.883308
-2.0,1,0.885263
-2.0,1,0.887224
-2.0,1,0.889122
-2.0,1,0.891062
-2.0,1,0.893013
-2.0,1,0.894939
-2.0,1,0.896877
-2.0,1,0.898801
-2.0,1,0.900761
-2.0,1,0.902644
-2.0,1,0.904563
-2.0,1,0.906536
-2.0,1,0.908479
-2.0,1,0.910811
-2.0,1,0.912725
-2.0,1,0.914624
-2.0,1,0.916606
-2.0,1,0.918511
-2.0,1,0.920438
-2.0,1,0.922376
-2.0,1,0.924319
-2.0,1,0.926229
-2.0,1,0.928145
-2.0,1,0.930067
-2.0,1,0.932096
-2.0,1,0.933987
-2.0,1,0.935959
-2.0,1,0.937906
-2.0,1,0.939892
-2.0,1,0.941854
-2.05,2,0.945765
-2.0,1,0.947694
-2.0,1,0.949772
-2.0,1,0.951887
-2.0,1,0.953947
-2.0,1,0.956018
-2.0,1,0.958168
-2.0,1,0.960284
-2.0,1,0.962342
-2.0,1,0.96443
-2.0,1,0.966461
-2.0,1,0.96853
-2.0,1,0.970552
-2.0,1,0.972604
-2.0,1,0.974677
-2.0,1,0.97682
-2.0,1,0.978886
-2.0,1,0.980936
-2.0,1,0.982989
-2.0,1,0.985042
-2.0,1,0.987211
-2.05,2,0.991362
-2.0,1,0.993388
-2.0,1,0.995429
-2.0,1,0.997491
-2.05,2,1.001571
-2.0,1,1.003686
-2.0,1,1.005699
-2.0,1,1.007785
-2.0,1,1.009868
-2.0,1,1.01195
-2.0,1,1.013972
-2.0,1,1.016015
-2.0,1,1.018175
-2.0,1,1.020211
-2.0,1,1.02222
-2.0,1,1.024311
-2.0,1,1.026341
-2.0,1,1.028613
-2.0,1,1.030686
-2.0,1,1.032761
-2.0,1,1.0348
-2.0,1,1.036889
-2.0,1,1.039011
-2.0,1,1.041082
-2.0,1,1.043189
-2.0,1,1.045238
-2.0,1,1.047329
-2.0,1,1.049364
-2.0,1,1.051404
-2.0,1,1.053418
-2.0,1,1.055484
-2.0,1,1.057541
-2.0,1,1.059586
-2.0,1,1.061684
-2.0,1,1.063764
-2.0,1,1.065841
-2.0,1,1.06789
-2.0,1,1.069913
-2.0,1,1.072261
-2.0,1,1.074309
-2.0,1,1.076433
-2.0,1,1.078439
-2.0,1,1.080527
-2.0,1,1.082594
-2.0,1,1.084614
-2.0,1,1.086648
-2.0,1,1.088728
-2.0,1,1.090816
-2.0,1,1.092844
-2.0,1,1.094898
-2.0,1,1.09691
-2.0,1,1.098946
-2.0,1,1.100991
-2.0,1,1.103052
-2.0,1,1.105094
-2.0,1,1.107152
-2.05,2,1.111269
5.0,1,1.113513
-2.0,1,1.115526
-2.0,1,1.11756
-2.0,1,1.119659
-2.0,1,1.121694
-2.0,1,1.123794
-2.0,1,1.125878
-2.0,1,1.127957
-2.0,1,1.130011
-2.0,1,1.132116
-2.0,1,1.134195
-2.0,1,1.136281
-2.0,1,1.138322
-2.0,1,1.140445
-2.0,1,1.142503
-2.0,1,1.144557
-2.0,1,1.146647
-2.0,1,1.148745
-2.0,1,1.150863
-2.0,1,1.153033
-2.0,1,1.155136
-2.0,1,1.157485
-2.0,1,1.159632
-2.0,1,1.161785
-2.0,1,1.163921
-2.0,1,1.165977
5.0,1,1.168139
-2.0,1,1.170184
-2.0,1,1.172384
-2.0,1,1.174471
-2.0,1,1.176542
-2.0,1,1.178653
-2.0,1,1.180749
-2.0,1,1.182843
-2.0,1,1.184957
-2.0,1,1.187047
-2.0,1,1.189138
-2.0,1,1.19127
-2.0,1,1.193347
-2.0,1,1.195459
-2.0,1,1.197581
-2.0,1,1.19976
-2.0,1,1.201846
-2.0,1,1.20406
-2.0,1,1.206212
-2.0,1,1.208357
-2.0,1,1.210471
-2.0,1,1.212611
-2.0,1,1.214776
-2.0,1,1.216892
-2.0,1,1.219039
-2.0,1,1.221164
-2.0,1,1.223255
-2.0,1,1.225331
-2.0,1,1.22745
-2.0,1,1.229537
-2.0,1,1.231643
-2.0,1,1.233789
-2.0,1,1.23594
-2.05,2,1.240285
-2.0,1,1.242476
-2.0,1,1.244591
-2.0,1,1.246659
-2.0,1,1.248952
-2.0,1,1.251085
-2.0,1,1.253211
-2.0,1,1.255338
-2.0,1,1.257406
-2.0,1,1.259555
-2.0,1,1.261619
-2.0,1,1.263775
-2.0,1,1.26585
-2.0,1,1.267941
-2.0,1,1.270062
-2.0,1,1.272173
-2.0,1,1.274233
-2.0,1,1.276342
-2.0,1,1.278498
-2.0,1,1.280663
-2.0,1,1.282819
-2.0,1,1.285022
-2.0,1,1.28715
-2.0,1,1.289226
-2.0,1,1.291351
-2.0,1,1.293451
-2.0,1,1.295607
-2.0,1,1.297754
-2.0,1,1.299938
-2.0,1,1.302107
-2.0,1,1.304264
-2.0,1,2.71051
-2.0,1,2.712766
-2.0,1,2.714888
5.0,1,2.717002
-2.0,1,2.719006
-2.0,1,2.721019
-2.0,1,2.723155
-2.0,1,2.725201
-2.0,1,2.72724
-2.0,1,2.729327
-2.0,1,2.731403
-2.0,1,2.733434
-2.0,1,2.735491
-2.0,1,2.737523
-2.0,1,2.739576
-2.0,1,2.741627
-2.0,1,2.743678
-2.0,1,2.745786
-2.0,1,2.747879
-2.0,1,2.749919
-2.0,1,2.751935
-2.0,1,2.753951
-2.0,1,2.756108
-2.0,1,2.758128
-2.0,1,2.76038
-2.0,1,2.762525
-2.05,2,2.766932
5.0,1,2.769177
5.0,1,2.771374
5.0,1,2.773575
-2.0,1,2.775763
5.0,1,2.777999
-2.0,1,2.780185
-2.0,1,2.782377
-2.0,1,2.784553
-2.0,1,2.786697
-2.0,1,2.788919
-2.0,1,2.791138
-2.0,1,2.793384
-2.05,2,2.797765
-2.05,2,2.802157
-2.0,1,2.804441
-2.0,1,2.806651
-2.0,1,2.808954
-2.0,1,2.811197
-2.0,1,2.813382
-2.0,1,2.815595
5.0,1,2.81787
-2.0,1,2.820066
5.0,1,2.822258
-2.0,1,2.824367
-2.0,1,2.826592
-2.0,1,2.828827
-2.0,1,2.831087
-2.0,1,2.833301
-2.0,1,2.835557
-2.0,1,2.83777
-2.0,1,2.840001
-2.0,1,2.842188
4.75,2,2.846676
-2.0,1,2.848907
-2.0,1,2.851161
-2.0,1,2.853343
-2.0,1,2.855581
5.0,1,2.857856
-2.0,1,2.860082
5.0,1,2.862286
5.0,1,2.864481
-2.0,1,2.866627
-2.0,1,2.868846
-2.05,2,2.873236
-2.0,1,2.8754
-2.0,1,2.877684
-2.05,2,2.882206
-2.0,1,2.88438
-2.0,1,2.886594
-2.0,1,2.88886
-2.0,1,2.891011
5.0,1,2.893261
-2.0,1,2.895475
5.0,1,2.897794
-2.0,1,2.899955
-2.0,1,2.902223
-2.0,1,2.904463
-2.0,1,2.90688
-2.0,1,2.909146
-2.0,1,2.911391
-2.0,1,2.913657
