#{"t_start": 1785857737.310136, "env_id": "None"}
r,l,t
9.99,2,2.340271
11.995,1,2.348296
9.75,1,2.355798
11.745,2,2.372715
10.495,7,2.422893
11.745,2,2.439664
11.495,3,2.462026
11.495,3,2.489074
9.75,1,2.49643
9.99,2,2.512826
10.651667,3,2.583009
9.523333,19,2.72521
11.485,5,2.759705
8.091667,25,2.950819
10.661667,1,2.960135
8.371667,18,3.09367
11.495,3,3.114732
11.495,3,3.137704
11.745,2,3.153311
10.995,5,3.187147
11.073333,3,3.208831
9.75,1,3.215669
11.073333,3,3.238306
9.891667,8,3.295396
11.995,1,3.302935
11.745,2,3.318629
9.99,2,3.333328
10.783333,12,3.422465
11.975,5,3.460596
10.813333,6,3.502379
9.99,2,3.516873
10.141667,7,3.569566
11.975,5,3.609626
8.763333,24,3.797071
10.823333,4,3.826248
6.82,48,4.205347
6.103333,66,4.72432
9.72,7,4.795097
7.968333,32,5.029907
10.396667,5,5.06677
8.781667,38,5.339012
11.985,3,5.36158
11.313333,4,5.390385
11.745,2,5.405776
10.661667,1,5.412819
6.871667,77,5.97537
10.656667,2,5.989606
6.166667,67,6.483711
11.323333,2,6.498903
6.455,76,7.052302
9.99,2,7.069135
9.376667,13,7.166218
8.208333,33,7.407017
7.948333,36,7.671958
10.965,11,7.752892
10.185,16,7.866481
9.96,8,7.924709
10.763333,16,8.036243
-9.075,100,8.756598
10.063333,9,8.822012
10.661667,1,8.829386
-8.271667,100,9.816108
8.153333,48,14.716862
9.98,4,14.753383
10.465,9,14.825039
7.756667,43,15.139235
11.995,1,15.146658
10.965,7,15.197103
10.636667,6,15.243597
9.001667,43,15.560642
11.283333,10,15.635056
11.99,2,15.651047
9.75,1,15.657614
11.745,2,15.674512
10.783333,12,15.785186
9.568333,6,15.850159
9.15,23,16.049408
9.75,1,16.056916
10.985,3,16.080522
8.25,100,16.843266
10.651667,3,16.868607
11.995,1,16.875847
10.48,15,16.979273
10.185,16,17.098735
7.64,62,17.560485
10.985,3,17.584786
8.44,31,17.819099
8.031667,41,18.111882
9.06,36,18.369779
-6.265,100,19.120627
8.76,47,19.466153
10.533333,13,19.561034
11.485,5,19.602818
-5.465,100,20.351178
-4.84,100,21.097393
10.411667,2,21.114379
10.61,20,21.265363
9.99,2,21.279571
9.106667,18,21.40411
8.5,37,21.676253
-6.58,100,26.885121
11.135,4,26.916833
10.995,1,26.924327
11.17,6,26.969364
8.58,70,27.513424
11.995,1,27.520984
9.51,13,27.618837
10.41,29,27.835889
10.39,2,27.851652
9.248333,21,28.00698
11.105,10,28.083557
10.335,4,28.112695
9.75,1,28.11999
9.49,35,28.379758
9.145,59,28.814398
10.875,7,28.867953
10.725,6,28.915727
11.323333,2,28.931096
9.75,1,28.93778
10.77,6,28.983507
11.54,12,29.075532
9.945,33,29.32917
10.23,16,29.454669
10.055,24,29.639073
11.985,3,29.661822
10.646667,4,29.693884
10.975,5,29.731968
10.151667,5,29.769431
10.535,26,29.96951
10.985,3,29.99332
9.02,44,30.316458
9.78,39,30.606962
10.735,4,30.637793
10.26,10,30.715417
10.735,4,30.747896
9.99,2,30.763473
9.435,50,31.147412
11.323333,2,31.164732
11.535,4,31.194865
10.705,10,31.269487
10.09,13,31.365131
11.06,10,31.44124
9.165,55,31.859428
9.135,30,32.082493
8.38,43,32.413382
10.661667,1,32.421591
11.641667,5,32.459461
10.5,11,32.542068
11.995,1,32.550348
10.325,6,32.595601
10.185,16,32.713164
8.525,54,33.111504
10.55,32,33.358753
11.995,1,33.365833
10.015,19,33.50695
9.115,34,33.760258
9.11,44,34.085556
9.75,1,34.092303
9.345,37,34.38766
10.735,4,34.415873
9.75,1,34.422437
9.315,30,39.051931
11.323333,2,39.067688
11.661667,1,39.075886
9.796667,45,39.44085
10.571667,32,39.689351
10.278333,33,39.936417
10.216667,23,40.111451
10.411667,2,40.126089
10.661667,1,40.134368
10.601667,13,40.235899
10.796667,5,40.274992
10.351667,14,40.384607
10.656667,2,40.400181
10.585,3,40.424667
11.303333,6,40.469626
11.131667,18,40.605015
10.736667,17,40.734443
10.236667,6,40.778378
7.496667,77,41.366911
10.661667,1,41.375166
10.12,51,41.763778
9.75,1,41.770134
10.96,30,42.001594
11.566667,11,42.086092
10.661667,1,42.093174
8.5,81,42.71401
10.2,22,42.87952
10.995,1,42.886754
11.355,9,42.953707
9.696667,29,43.168199
-3.906667,100,43.928447
10.985,3,43.953116
10.443333,31,44.194204
11.995,1,44.20283
10.385,3,44.226928
10.015,41,44.541148
9.75,1,44.547858
-3.528333,100,45.322253
9.843333,40,45.63321
10.735,4,45.661791
6.723333,76,46.2414
11.995,1,46.250071
10.905,10,46.326467
9.505,32,46.567682
10.16,30,46.794441
11.18,4,46.825602
11.175,5,46.864112
11.995,1,51.342385
11.441667,5,51.381492
11.56,8,51.444247
11.688333,9,51.510282
10.486667,18,51.648093
10.023333,4,51.67789
11.698333,7,51.734575
10.656667,2,51.749556
9.96,21,51.917041
10.838333,19,52.066426
10.036667,10,52.142936
10.101667,15,52.256105
10.371667,10,52.337435
10.071667,21,52.500448
9.578333,26,52.696768
10.256667,2,52.714787
10.473333,12,52.809305
10.608333,16,52.925192
11.253333,16,53.051393
8.723333,32,53.292456
10.888333,9,53.363856
