#{"t_start": 1785394324.584164, "env_id": "None"}
r,l,t
-2.0,1,1.610499
-2.05,2,1.613354
-2.05,2,1.616438
-2.0,1,1.617839
-2.0,1,1.619268
-2.0,1,1.620651
-2.0,1,1.621975
-2.0,1,1.623292
-2.0,1,1.624576
-2.05,2,1.627157
5.0,1,1.628529
-2.0,1,1.631196
-2.0,1,1.63254
-2.0,1,1.633876
-2.0,1,1.635242
-2.0,1,1.636572
-2.05,2,1.639242
-2.0,1,1.64053
-2.0,1,1.641847
-2.0,1,1.643142
-2.0,1,1.644442
-2.05,2,1.646943
-2.0,1,1.648238
5.0,1,1.649562
-2.0,1,1.650873
-2.0,1,1.652232
4.75,2,1.654929
-2.0,1,1.656225
-2.0,1,1.657495
-2.0,1,1.658815
-2.0,1,1.660136
-2.0,1,1.66146
5.0,1,1.662741
5.0,1,1.664023
-2.0,1,1.665299
5.0,1,1.666623
5.0,1,1.667934
-2.0,1,1.669169
-2.0,1,1.67048
4.75,2,1.673092
-2.0,1,1.674381
-2.0,1,1.675692
-2.0,1,1.676971
-2.0,1,1.67826
-2.0,1,1.679528
-2.0,1,1.680808
-2.0,1,1.682158
-2.0,1,1.683428
5.0,1,1.684727
5.0,1,1.686025
-2.0,1,1.687284
-2.0,1,1.688705
5.0,1,1.690344
-2.0,1,1.691723
-2.0,1,1.69299
5.0,1,1.694304
-2.0,1,1.69564
-2.0,1,1.696896
-2.0,1,1.698168
-2.0,1,1.699418
-2.0,1,1.700684
-2.0,1,1.701985
-2.0,1,1.703442
4.75,2,1.70609
-2.0,1,1.707299
-2.0,1,1.708542
-2.0,1,1.709807
-2.05,2,1.712322
-2.0,1,1.713583
-2.05,2,1.716038
-2.0,1,1.717246
-2.0,1,1.71848
-2.0,1,1.719691
-2.0,1,1.720901
-2.0,1,1.722157
-2.0,1,1.723372
-2.0,1,1.724575
-2.0,1,1.725784
-2.0,1,1.727059
5.0,1,1.728424
5.0,1,1.729723
-2.0,1,1.730964
-2.0,1,1.732227
-2.0,1,1.733525
-2.0,1,1.734883
-2.05,2,1.737386
-2.0,1,1.73866
-2.0,1,1.739942
-2.0,1,1.741216
-2.0,1,1.742543
-2.0,1,1.743847
-2.0,1,1.7453
-2.05,2,1.7479
-2.0,1,1.749227
-2.05,2,1.751832
-2.0,1,1.753103
-2.0,1,1.754387
4.75,2,1.757075
-2.0,1,1.758426
5.0,1,1.759733
4.75,2,1.762333
-2.0,1,1.763636
5.0,1,1.764963
-2.0,1,1.766278
-2.0,1,1.767689
-2.0,1,1.769061
-2.0,1,1.770424
5.0,1,1.771898
-2.0,1,1.77323
5.0,1,1.774567
-2.0,1,1.775882
-2.0,1,1.777197
5.0,1,1.778579
-2.0,1,1.779889
-2.0,1,1.781205
-2.0,1,1.782599
-2.05,2,1.785337
5.0,1,1.786721
-2.0,1,1.788145
4.75,2,1.790875
-2.0,1,1.7922
-2.0,1,1.793545
-2.05,2,1.796257
-2.0,1,1.79769
-2.0,1,1.799072
-2.0,1,1.800395
-2.0,1,1.801718
-2.0,1,1.80303
-2.0,1,1.804326
-2.0,1,1.805681
-2.0,1,1.80708
-2.05,2,1.809747
-2.0,1,1.811076
-2.0,1,1.812412
5.0,1,1.813831
-2.0,1,1.815237
4.75,2,1.81805
-2.0,1,1.819417
5.0,1,1.82077
-2.0,1,1.822139
-2.0,1,1.823501
-2.0,1,1.824932
5.0,1,1.82636
-2.0,1,1.827742
-2.0,1,1.829179
-2.05,2,1.83206
5.0,1,1.833451
-2.0,1,1.834867
-2.0,1,1.836267
-2.05,2,1.839042
-2.0,1,1.840403
-2.0,1,1.841777
-2.0,1,1.84316
-2.0,1,1.844536
-2.0,1,1.845946
4.75,2,1.84872
-2.0,1,1.850099
-2.05,2,1.852847
-2.0,1,1.854189
-2.0,1,1.85552
-2.0,1,1.856861
-2.05,2,1.859514
-2.0,1,1.860864
5.0,1,1.862238
-2.0,1,1.863584
4.75,2,1.866298
-2.0,1,1.867645
-2.0,1,1.868979
-2.0,1,1.870331
-2.0,1,1.871649
-2.0,1,1.872994
-2.05,2,1.875706
-2.0,1,1.877023
5.0,1,1.878446
-2.0,1,1.879737
-2.0,1,1.881061
5.0,1,1.882406
-2.0,1,1.883711
-2.0,1,1.885113
-2.0,1,1.886479
-2.0,1,1.88787
-2.0,1,1.889194
5.0,1,1.891347
-2.0,1,1.892633
5.0,1,1.894068
-2.0,1,1.895468
5.0,1,1.896881
-2.0,1,1.89825
-2.05,2,1.901076
5.0,1,1.902581
-2.0,1,1.90396
-2.05,2,1.906711
-2.05,2,1.909481
5.0,1,1.910898
4.75,2,1.913736
-2.0,1,1.915094
-2.0,1,1.916508
-2.0,1,1.917942
-2.0,1,1.919332
-2.0,1,1.920683
-2.0,1,1.922081
-2.0,1,1.923464
-2.0,1,1.924814
-2.0,1,1.926205
-2.0,1,1.927673
-2.0,1,1.92908
-2.0,1,1.930465
-2.0,1,1.931858
4.75,2,1.934621
-2.0,1,1.935996
-2.0,1,1.937371
5.0,1,1.938796
-2.05,2,1.941588
-2.0,1,1.942963
5.0,1,1.944355
-2.0,1,1.945739
5.0,1,1.947129
5.0,1,1.948524
-2.0,1,1.949887
5.0,1,1.951314
-2.0,1,1.95267
-2.0,1,1.954539
-2.0,1,1.956564
-2.05,2,1.95977
-2.05,2,1.962545
-2.05,2,1.965227
-2.0,1,1.966558
5.0,1,1.967919
5.0,1,1.969253
5.0,1,1.970586
-2.0,1,1.971943
-2.0,1,1.973292
-2.0,1,1.974665
-2.0,1,1.976032
5.0,1,1.977447
-2.0,1,1.978764
5.0,1,1.980146
4.75,2,1.982897
-2.0,1,1.984317
-2.0,1,1.985675
5.0,1,1.987052
-2.0,1,1.988342
-2.0,1,1.989698
-2.05,2,1.992456
-2.0,1,1.994151
-2.0,1,1.995773
5.0,1,1.997251
-2.0,1,1.998654
5.0,1,2.000057
-2.0,1,2.001548
-2.0,1,2.002952
-2.0,1,2.004365
-2.0,1,2.005759
-2.0,1,2.007181
-2.0,1,2.008594
-2.0,1,2.010013
5.0,1,2.011464
-2.05,2,2.014307
5.0,1,2.015763
-2.0,1,2.017154
5.0,1,2.018607
5.0,1,2.020052
-2.0,1,2.021472
5.0,1,2.022906
-2.0,1,2.024308
-2.0,1,2.025727
-2.0,1,2.027141
-2.05,2,2.029922
5.0,1,2.031393
-2.0,1,2.032783
-2.0,1,2.034181
-2.0,1,2.035587
-2.05,2,2.038404
-2.0,1,2.039785
-2.05,2,2.042536
-2.0,1,2.04393
-2.05,2,2.046719
-2.0,1,2.048053
-2.0,1,2.049425
-2.0,1,2.050753
5.0,1,2.052122
-2.05,2,2.05477
-2.0,1,2.056113
-2.0,1,2.057482
5.0,1,2.058847
-2.0,1,2.060169
5.0,1,2.061604
-2.05,2,2.064502
-2.0,1,2.065889
-2.0,1,2.067316
4.75,2,2.070122
4.75,2,2.072895
-2.0,1,2.074292
5.0,1,2.075724
-2.05,2,2.078496
-2.0,1,2.079904
-2.05,2,2.082667
-2.0,1,2.084048
-2.0,1,2.08555
-2.0,1,2.086909
-2.0,1,2.088283
-2.0,1,2.089809
-2.0,1,2.091555
-2.0,1,2.093269
-2.0,1,2.094772
-2.0,1,2.096262
5.0,1,2.097762
-2.0,1,2.09923
-2.0,1,2.100715
-2.0,1,2.102256
-2.0,1,2.103881
-2.0,1,2.10541
-2.0,1,2.106888
-2.0,1,2.108342
-2.0,1,2.109803
-2.0,1,2.111276
-2.05,2,2.11429
-2.05,2,2.11717
-2.0,1,2.118652
-2.0,1,2.120124
5.0,1,2.121655
5.0,1,2.123165
-2.05,2,2.126163
-2.0,1,2.127634
-2.05,2,2.130694
-2.0,1,2.132161
5.0,1,2.13368
4.75,2,2.136664
-2.0,1,2.138164
-2.0,1,2.139643
-2.0,1,2.141114
5.0,1,2.14268
-2.05,2,2.145684
5.0,1,2.14724
5.0,1,2.14875
-2.0,1,2.150257
-2.0,1,2.151753
-2.0,1,2.153387
5.0,1,2.154912
-2.0,1,2.156372
-2.0,1,2.157875
-2.0,1,2.15938
-2.0,1,2.160863
-2.0,1,2.162356
-2.0,1,2.163797
-2.0,1,2.165315
-2.05,2,2.168283
5.0,1,2.169923
-2.0,1,2.171501
-2.0,1,2.172916
-2.0,1,2.174361
-2.0,1,2.175797
-2.0,1,2.177218
-2.0,1,2.178624
5.0,1,2.180099
-2.0,1,2.181502
-2.0,1,2.182929
-2.05,2,2.185855
-2.0,1,2.187306
-2.0,1,2.188756
-2.05,2,2.191646
5.0,1,2.193082
-2.0,1,2.194498
-2.0,1,2.195916
-2.0,1,2.197343
-2.0,1,2.198749
-2.0,1,2.200171
5.0,1,2.201649
4.75,2,2.204498
-2.0,1,2.205909
-2.0,1,2.207326
5.0,1,2.208754
-2.0,1,2.210159
-2.0,1,2.211586
4.75,2,2.214538
-2.0,1,2.215942
-2.0,1,2.217356
-2.05,2,2.220245
5.0,1,2.221765
-2.0,1,2.223192
-2.05,2,2.226074
-2.0,1,2.227462
5.0,1,2.228898
-2.0,1,2.230338
-2.0,1,2.23175
4.75,2,2.234628
5.0,1,2.236059
-2.0,1,2.23747
-2.0,1,2.238871
5.0,1,2.240344
-2.05,2,2.243227
-2.0,1,2.244646
5.0,1,2.246166
-2.0,1,2.24756
5.0,1,2.249051
-2.05,2,2.252192
-2.0,1,2.253737
-2.0,1,2.255308
-2.0,1,2.257206
-2.0,1,2.2591
-2.0,1,2.260797
5.0,1,2.262588
5.0,1,2.264149
5.0,1,2.265858
-2.05,2,2.269344
-2.0,1,2.270852
-2.0,1,2.272344
-2.0,1,2.273815
-2.0,1,2.275356
-2.0,1,2.276836
5.0,1,2.278346
5.0,1,2.279864
-2.05,2,2.282841
-2.0,1,2.284288
-2.0,1,2.285862
-2.0,1,2.2874
-2.0,1,2.288883
-2.0,1,2.290422
-2.0,1,2.291942
-2.0,1,2.293467
-2.0,1,2.294939
-2.0,1,2.296444
-2.0,1,2.297898
-2.0,1,2.299451
-2.0,1,2.300907
-2.0,1,2.302464
-2.0,1,2.303984
-2.0,1,2.305491
-2.0,1,2.30696
-2.0,1,2.308416
-2.0,1,2.309884
-2.0,1,2.311334
-2.0,1,2.312783
-2.0,1,2.314254
-2.0,1,2.315732
5.0,1,2.317249
-2.0,1,2.318668
5.0,1,2.320215
-2.0,1,2.321656
-2.0,1,2.323173
5.0,1,2.32473
-2.0,1,2.326216
-2.0,1,2.327721
-2.0,1,2.329234
-2.05,2,3.335433
-2.0,1,3.337394
-2.0,1,3.33911
-2.0,1,3.340624
-2.0,1,3.342139
-2.0,1,3.343704
-2.05,2,3.346666
-2.0,1,3.348035
-2.05,2,3.350912
5.0,1,3.352334
-2.0,1,3.353718
-2.0,1,3.355122
-2.0,1,3.356551
5.0,1,3.358021
5.0,1,3.359454
-2.05,2,3.362863
4.75,2,3.36584
-2.0,1,3.367343
-2.0,1,3.368794
-2.0,1,3.370241
-2.0,1,3.371672
5.0,1,3.373199
5.0,1,3.374593
-2.0,1,3.376024
-2.0,1,3.377552
5.0,1,3.379026
-2.0,1,3.380498
-2.0,1,3.382023
-2.0,1,3.383541
-2.0,1,3.385113
-2.0,1,3.386651
5.0,1,3.388308
5.0,1,3.389858
-2.05,2,3.392914
-2.0,1,3.395846
-2.0,1,3.397439
-2.0,1,3.399059
-2.0,1,3.400704
-2.05,2,3.403791
-2.0,1,3.405435
-2.0,1,3.406994
5.0,1,3.40867
5.0,1,3.410249
5.0,1,3.411873
5.0,1,3.413502
-2.0,1,3.415094
5.0,1,3.416762
-2.0,1,3.41836
-2.0,1,3.41995
-2.0,1,3.421581
-2.05,2,3.424937
5.0,1,3.42654
-2.05,2,3.429799
5.0,1,3.431458
-2.0,1,3.433132
-2.0,1,3.434814
-2.0,1,3.436397
-2.0,1,3.438005
-2.0,1,3.439669
-2.0,1,3.441333
-2.0,1,3.442924
-2.05,2,3.446308
5.0,1,3.447978
-2.0,1,3.449681
-2.0,1,3.451389
-2.0,1,3.453053
4.75,2,3.45645
-2.0,1,3.458159
-2.0,1,3.459937
5.0,1,3.461672
4.75,2,3.465107
-2.0,1,3.466787
-2.0,1,3.468597
-2.05,2,3.472035
-2.0,1,3.473767
-2.0,1,3.475492
-2.0,1,3.477221
5.0,1,3.478946
5.0,1,3.4807
5.0,1,3.48245
5.0,1,3.484174
-2.0,1,3.485866
-2.0,1,3.487526
-2.0,1,3.489227
-2.0,1,3.490896
4.75,2,3.494406
-2.05,2,3.49772
-2.05,2,3.501465
-2.0,1,3.503498
-2.0,1,3.505488
5.0,1,3.507304
-2.05,2,3.510696
5.0,1,3.512428
5.0,1,3.514177
-2.0,1,3.515853
-2.0,1,3.517625
-2.0,1,3.519273
-2.0,1,3.521035
-2.0,1,3.522884
4.75,2,3.526501
-2.05,2,3.529936
5.0,1,3.531736
-2.05,2,3.53515
-2.0,1,3.53716
5.0,1,3.539016
-2.0,1,3.540605
5.0,1,3.54239
4.75,2,3.545777
-2.05,2,3.549163
-2.0,1,3.550846
-2.0,1,3.552575
-2.0,1,3.554372
-2.0,1,3.556095
5.0,1,3.557834
-2.0,1,3.559468
5.0,1,3.561229
5.0,1,3.562915
-2.0,1,3.564798
-2.0,1,3.566918
5.0,1,3.568915
5.0,1,3.570703
-2.05,2,3.574264
-2.0,1,3.576013
-2.0,1,3.577819
-2.0,1,3.579928
5.0,1,3.581849
-2.05,2,3.585624
-2.0,1,3.5876
5.0,1,3.589547
-2.05,2,3.593353
-2.0,1,3.595261
5.0,1,3.597267
-2.0,1,3.59924
-2.0,1,3.601207
-2.0,1,3.60317
4.75,2,3.606751
-2.0,1,3.608601
5.0,1,3.61056
-2.0,1,3.612409
4.75,2,3.616414
-2.0,1,3.618327
-2.0,1,3.620145
-2.0,1,3.622043
-2.0,1,3.623975
-2.0,1,3.625753
-2.0,1,3.627553
5.0,1,3.629387
-2.05,2,3.632927
5.0,1,3.634788
-2.0,1,3.636519
-2.0,1,3.638328
-2.0,1,3.640086
