#{"t_start": 1785856148.874502, "env_id": "None"}
r,l,t
9.75,1,0.339072
11.995,1,0.346999
9.75,1,0.353618
9.99,2,0.369989
11.995,1,0.377279
9.74,3,0.399497
11.995,1,0.40738
11.745,2,0.422001
9.99,2,0.43669
11.745,2,0.45169
10.495,7,0.501573
11.995,1,0.509343
9.24,5,0.54874
9.99,2,0.565769
9.75,1,0.572583
10.381667,8,0.66566
11.995,1,0.672923
11.995,1,0.680433
11.735,4,0.708311
7.831667,28,0.913583
9.75,1,0.920146
8.22,13,1.01043
10.661667,1,1.017044
11.995,1,1.023916
11.725,6,1.063513
10.411667,2,1.075948
10.523333,15,1.177687
9.371667,14,1.27303
11.745,2,1.286413
8.753333,26,1.46212
9.75,1,1.46841
9.523333,19,1.601041
11.073333,3,1.624569
9.75,1,1.630893
9.99,2,1.645915
11.745,2,1.660591
9.223333,30,1.866673
10.553333,9,1.933988
9.75,1,1.941243
9.611667,15,2.050176
11.053333,7,2.096444
9.74,3,2.115258
11.063333,5,2.146296
11.995,1,2.15363
9.75,1,2.159505
10.141667,7,2.205415
9.24,5,2.239411
9.99,2,2.337821
10.396667,5,2.376331
8.7,15,2.475252
-8.448333,100,3.142192
9.49,4,3.170636
-9.026667,100,3.827899
11.745,2,3.843032
10.563333,7,3.888105
10.715,8,3.941056
11.995,1,3.948416
10.685,18,4.063315
9.356667,17,4.177517
8.663333,44,4.480721
10.308333,5,4.515504
11.661667,1,4.523622
9.49,4,4.550718
10.651667,3,4.570629
11.745,2,4.583634
10.523333,15,4.682271
10.328333,1,4.689011
9.75,1,4.694809
10.215,10,4.758281
9.943333,33,4.989724
10.116667,12,5.070151
10.391667,6,5.112326
9.99,2,5.126115
7.433333,45,5.429676
11.995,1,5.437134
10.141667,7,5.487478
-9.251667,100,6.159956
-9.251667,100,6.83156
-8.448333,100,11.163195
11.995,1,11.171709
10.126667,10,11.240959
8.748333,23,11.402946
10.058333,6,11.444985
10.656667,2,11.45903
11.745,2,11.474225
10.773333,14,11.568845
10.328333,1,11.577075
10.356667,13,11.664827
7.936667,56,12.043574
9.73,5,12.078192
10.975,5,12.112084
10.636667,6,12.152371
10.591667,19,12.281236
9.75,1,12.28698
7.978333,30,12.488694
10.445,13,12.580721
11.641667,5,12.614586
10.106667,14,12.712565
9.478333,24,12.873264
8.925,23,13.030821
10.523333,15,13.130799
10.995,1,13.137873
10.715,8,13.191665
8.373333,53,13.532859
9.75,1,13.539098
11.293333,8,13.593897
10.126667,10,13.663518
9.75,1,13.669662
10.975,5,13.702493
11.45,12,13.786618
10.861667,14,13.875164
7.198333,39,14.140689
9.725,28,14.376447
9.925,19,14.50032
10.94,3,14.522079
10.355,31,14.731546
9.435,37,14.990597
11.18,4,15.019542
9.75,1,15.02578
9.325,28,15.215675
8.48,54,15.592693
-4.975,100,16.275765
10.34,25,16.453301
8.82,53,16.814853
9.25,16,16.926451
11.323333,2,16.940331
11.273333,12,17.023556
10.735,4,17.051019
9.67,30,17.25684
7.205,91,17.884787
10.661667,1,17.892092
9.455,28,21.655192
7.83,55,22.033227
8.72,42,22.311378
9.855,33,22.534262
10.151667,5,22.568029
11.33,5,22.603784
11.995,1,22.610957
10.94,3,22.63191
11.19,2,22.644839
11.365,7,22.696395
7.615,40,22.964405
8.825,61,23.387741
9.99,2,23.401857
11.205,21,23.548271
9.55,23,23.70739
9.74,3,23.728372
9.405,43,24.026861
11.323333,2,24.040816
8.49,39,24.312637
10.575,5,24.345093
9.915,21,24.490603
11.661667,1,24.498167
10.125,28,24.691112
10.395,23,24.849
10.435,15,24.953343
10.91,9,25.015674
11.323333,2,25.030656
-3.64,100,25.729172
8.565,77,26.254497
11.995,1,26.261698
10.27,8,26.317593
10.41,11,26.393703
-3.995,100,27.07423
10.12,7,27.121096
9.175,40,27.389551
10.315,21,27.533821
7.565,68,28.206371
10.355,13,28.292004
8.09,83,32.647342
10.93,5,32.681958
10.535,13,32.776381
10.53,5,32.811044
9.99,2,32.825457
10.315,8,32.878573
9.75,1,32.885158
10.305,10,32.95956
10.195,1,32.967084
11.01,20,33.108418
9.99,2,33.121463
11.04,14,33.214144
11.391667,6,33.256935
10.725,6,33.299397
10.555,9,33.362422
10.77,6,33.4076
11.18,4,33.441576
11.375,5,33.500214
11.385,3,33.530816
10.975,5,33.58005
10.39,2,33.600406
10.39,2,33.618196
10.575,5,33.662693
11.073333,3,33.688391
10.605,12,33.780625
10.78,4,33.810783
11.995,1,33.81866
9.935,4,33.846723
10.328333,1,33.85512
10.77,6,33.897804
10.11,22,34.056261
10.995,1,34.063474
10.34,25,34.236636
10.661667,1,34.244345
10.965,7,34.295413
10.585,3,34.31912
8.825,43,34.624816
10.656667,2,34.638849
11.365,7,34.687245
10.51,9,34.762237
9.75,1,34.772962
10.6,35,35.070995
9.43,29,35.28333
8.965,42,35.579646
9.743333,11,35.651665
9.758333,39,35.913982
-3.416667,100,36.618983
10.646667,4,36.647692
9.031667,46,36.964809
11.995,1,36.971994
9.751667,36,37.222723
8.288333,88,37.832176
-4.396667,100,38.517365
10.656667,2,38.532312
10.908333,5,38.568186
9.425,48,38.901295
10.21,20,39.067186
7.565,77,39.645431
9.816667,41,39.939112
10.085,14,43.698971
11.151667,14,43.794519
10.328333,1,43.804348
11.345,33,44.040815
10.341667,16,44.155057
9.621667,26,44.342048
9.843333,40,44.625225
10.493333,8,44.684987
11.006667,12,44.77071
8.33,53,45.14422
10.75,10,45.216015
10.905,10,45.284934
10.068333,26,45.471308
10.166667,33,45.710821
9.99,2,45.724946
10.925,6,45.76845
10.143333,29,45.975155
10.111667,13,46.065745
10.425,8,46.121189
11.313333,4,46.151329
10.021667,31,46.372235
9.453333,33,46.599421
10.706667,23,46.764387
11.995,1,46.772456
11.016667,10,46.843352
10.01,11,46.928371
11.995,1,46.935793
11.715,8,46.994895
10.395,1,47.00228
10.378333,26,47.185142
