#{"t_start": 1785413145.8393095, "env_id": "None"}
r,l,t
-2.0,1,1.286272
-2.0,1,1.288882
-2.0,1,1.292338
-2.0,1,1.295411
-2.0,1,1.297849
-2.0,1,1.300521
-2.0,1,1.302734
-2.0,1,1.305341
-2.0,1,1.30795
-2.0,1,1.310243
-2.0,1,1.31247
-2.0,1,1.31459
-2.0,1,1.316899
-2.0,1,1.319467
-2.0,1,1.322354
-2.0,1,1.325358
-2.0,1,1.328392
-2.0,1,1.330251
-2.0,1,1.332181
-2.0,1,1.333828
-2.0,1,1.335494
-2.0,1,1.337124
-2.0,1,1.338744
-2.0,1,1.340355
-2.0,1,1.341932
-2.0,1,1.343534
-2.0,1,1.345608
-2.0,1,1.347837
-2.0,1,1.349631
-2.0,1,1.351524
-2.0,1,1.353599
-2.0,1,1.356897
-2.0,1,1.360268
-2.0,1,1.362975
-2.0,1,1.364805
-2.0,1,1.366639
-2.0,1,1.368375
-2.0,1,1.370136
-2.0,1,1.371755
-2.0,1,1.373327
-2.0,1,1.375549
-2.0,1,1.377079
-2.0,1,1.378817
-2.0,1,1.380591
-2.0,1,1.382416
-2.0,1,1.384241
-2.0,1,1.386012
-2.0,1,1.388683
-2.0,1,1.391071
-2.0,1,1.393224
-2.0,1,1.395286
-2.0,1,1.397246
-2.0,1,1.399178
-2.0,1,1.400674
-2.0,1,1.402434
-2.0,1,1.404857
-2.0,1,1.406838
-2.0,1,1.408758
-2.0,1,1.410649
-2.0,1,1.41315
-2.0,1,1.415854
-2.0,1,1.417987
-2.0,1,1.42022
-2.0,1,1.422186
-2.0,1,1.424082
-2.0,1,1.425994
-2.0,1,1.427879
-2.0,1,1.42956
-2.0,1,1.431529
-2.0,1,1.43313
-2.0,1,1.435383
-2.0,1,1.445199
-2.0,1,1.448195
-2.0,1,1.450557
-2.0,1,1.45281
-2.0,1,1.454531
-2.0,1,1.456508
-2.0,1,1.458318
-2.0,1,1.460028
-2.0,1,1.461796
-2.0,1,1.463875
-2.0,1,1.465637
-2.0,1,1.467474
-2.0,1,1.469669
-2.0,1,1.472513
-2.0,1,1.474831
-2.0,1,1.476624
-2.0,1,1.478396
-2.0,1,1.480229
-2.0,1,1.482228
-2.0,1,1.484101
-2.0,1,1.486941
-2.0,1,1.489956
-2.0,1,1.492351
-2.0,1,1.495455
-2.0,1,1.49865
-2.0,1,1.500658
-2.0,1,1.502661
-2.0,1,1.504546
-2.0,1,1.506523
-2.0,1,1.508716
-2.0,1,1.511018
