#{"t_start": 1785391431.051215, "env_id": "None"}
r,l,t
-2.0,1,1.9482
5.0,1,1.950001
-2.0,1,1.952497
-2.0,1,1.95417
-2.0,1,1.956652
-2.0,1,1.959135
-2.0,1,1.961167
-2.0,1,1.962866
-2.0,1,1.964553
-2.0,1,1.966161
5.0,1,1.967742
-2.0,1,1.969264
-2.0,1,1.971169
5.0,1,1.974501
5.0,1,1.976954
-2.0,1,1.979448
-2.0,1,1.982109
-2.0,1,1.983705
-2.0,1,1.985258
-2.0,1,1.986889
-2.0,1,1.989051
-2.0,1,1.990763
-2.0,1,1.992361
-2.0,1,1.993895
-2.0,1,1.995468
-2.0,1,1.997488
5.0,1,1.999599
-2.0,1,2.001555
-2.0,1,2.003305
-2.0,1,2.004919
-2.05,2,2.008922
-2.05,2,2.012509
-2.0,1,2.01487
-2.0,1,2.016453
-2.0,1,2.018309
-2.0,1,2.020381
-2.0,1,2.021954
-2.0,1,2.023507
-2.0,1,2.025476
-2.0,1,2.027022
-2.0,1,2.028548
-2.0,1,2.031417
-2.0,1,2.03412
-2.0,1,2.036269
-2.0,1,2.037873
-2.0,1,2.039485
-2.0,1,2.041616
-2.0,1,2.043369
-2.0,1,2.044945
-2.0,1,2.047496
-2.0,1,2.050154
-2.0,1,2.051964
-2.0,1,2.053549
-2.0,1,2.055148
-2.05,2,2.058865
-2.0,1,2.060447
-2.0,1,2.062798
-2.0,1,2.064772
-2.0,1,2.066953
-2.0,1,2.068668
-2.0,1,2.070218
-2.0,1,2.071769
-2.0,1,2.073334
-2.0,1,2.074986
-2.0,1,2.076545
-2.0,1,2.078088
-2.05,2,2.082682
5.0,1,2.084347
-2.0,1,2.085956
-2.0,1,2.08754
5.0,1,2.089958
-2.0,1,2.091559
-2.0,1,2.093135
5.0,1,2.094806
-2.0,1,2.096399
-2.0,1,2.098048
-2.0,1,2.099853
-2.05,2,2.103099
-2.0,1,2.10469
-2.0,1,2.106276
-2.0,1,2.107928
-2.0,1,2.109465
-2.05,2,2.112578
-2.0,1,2.114115
-2.0,1,2.115687
-2.0,1,2.117219
5.0,1,2.118862
-2.0,1,2.120554
-2.0,1,2.122329
-2.0,1,2.123937
-2.0,1,2.125536
-2.0,1,2.127188
-2.0,1,2.128773
-2.0,1,2.130396
-2.0,1,2.132043
-2.05,2,2.135194
-2.0,1,2.13679
-2.0,1,2.138532
-2.0,1,2.140165
-2.05,2,2.143292
-2.0,1,2.144927
-2.0,1,2.146565
-2.0,1,2.148174
-2.0,1,2.149802
-2.0,1,2.151398
-2.0,1,2.152978
-2.0,1,2.154544
-2.0,1,2.156103
-2.0,1,2.1577
-2.0,1,2.159313
-2.0,1,2.160932
5.0,1,2.162534
-2.0,1,2.164126
-2.05,2,2.167226
-2.0,1,2.168801
-2.0,1,2.170378
-2.0,1,2.171988
-2.0,1,2.17356
-2.0,1,2.175166
-2.0,1,2.176735
