#{"t_start": 1785424586.211321, "env_id": "None"}
r,l,t
-2.0,1,1.167114
-2.0,1,1.16861
-2.0,1,1.170132
-2.0,1,1.171653
-2.0,1,1.172961
-2.0,1,1.174378
-2.0,1,1.175838
-2.0,1,1.177321
-2.0,1,1.178569
-2.0,1,1.179876
-2.0,1,1.181156
-2.0,1,1.182456
-2.0,1,1.183734
-2.0,1,1.185002
-2.0,1,1.186292
-2.0,1,1.187565
-2.0,1,1.188833
-2.0,1,1.190127
-2.0,1,1.191407
-2.0,1,1.192703
-2.0,1,1.193975
-2.0,1,1.195264
-2.0,1,1.196534
-2.0,1,1.197825
-2.0,1,1.19912
-2.0,1,1.200392
-2.0,1,1.201669
-2.0,1,1.202977
-2.0,1,1.20427
-2.0,1,1.205504
-2.0,1,1.206865
-2.0,1,1.20815
-2.0,1,1.209399
-2.0,1,1.210659
-2.0,1,1.211901
-2.0,1,1.213135
-2.0,1,1.214381
-2.0,1,1.215623
-2.0,1,1.216856
-2.0,1,1.218105
-2.0,1,1.21934
-2.0,1,1.220572
-2.0,1,1.221807
-2.0,1,1.223064
-2.0,1,1.224287
-2.0,1,1.225551
-2.0,1,1.22679
-2.0,1,1.228031
-2.0,1,1.229263
-2.0,1,1.230507
-2.0,1,1.231732
-2.0,1,1.232966
-2.0,1,1.234213
-2.0,1,1.235454
-2.0,1,1.236689
-2.0,1,1.237926
-2.0,1,1.239175
-2.0,1,1.240419
-2.0,1,1.241675
-2.0,1,1.242933
-2.0,1,1.244168
-2.0,1,1.245404
-2.0,1,1.246649
-2.0,1,1.24793
-2.0,1,1.249251
-2.0,1,1.250548
-2.0,1,1.251829
-2.0,1,1.253117
-2.0,1,1.254406
-2.0,1,1.255685
-2.0,1,1.256966
-2.0,1,1.258242
-2.0,1,1.259522
-2.0,1,1.260781
-2.0,1,1.262046
-2.0,1,1.263306
-2.0,1,1.264568
-2.0,1,1.265826
-2.0,1,1.267106
-2.0,1,1.268367
-2.0,1,1.269625
-2.0,1,1.270892
-2.0,1,1.272154
-2.0,1,1.273418
-2.0,1,1.274701
-2.0,1,1.275998
-2.0,1,1.277274
-2.0,1,1.278687
-2.0,1,1.28003
-2.0,1,1.281372
-2.0,1,1.282664
-2.0,1,1.283944
-2.0,1,1.285218
-2.0,1,1.286502
-2.0,1,1.287775
-2.0,1,1.289042
-2.0,1,1.290354
-2.0,1,1.291693
-2.0,1,1.293044
-2.0,1,1.294421
-2.0,1,1.295792
-2.0,1,1.297102
-2.0,1,1.29847
-2.0,1,1.299829
-2.0,1,1.301179
-2.0,1,1.302538
-2.0,1,1.303885
-2.0,1,1.305239
-2.0,1,1.306597
