#{"t_start": 1785837531.0347428, "env_id": "None"}
r,l,t
11.995,1,3.569565
9.49,4,3.620239
11.995,1,3.633476
11.745,2,3.665612
9.74,3,3.704983
9.75,1,3.718126
9.75,1,3.729072
9.75,1,3.740549
11.745,2,3.767217
11.495,3,3.805195
9.75,1,3.814689
11.245,4,3.860822
9.75,1,3.875057
9.74,3,3.91734
9.75,1,3.930947
11.995,1,3.946203
11.995,1,3.96148
9.74,3,3.999035
11.995,1,4.014263
11.995,1,4.031801
11.495,3,4.071424
9.75,1,4.0815
11.735,4,4.123909
11.995,1,4.136136
10.411667,2,4.160213
8.881667,14,4.31102
11.073333,3,4.34061
9.75,1,4.351551
11.985,3,4.385374
11.053333,7,4.465857
9.901667,6,4.584831
10.151667,5,4.639391
10.563333,7,4.71413
9.99,2,4.733832
11.745,2,4.75242
11.995,1,4.764316
9.773333,18,4.985902
9.75,1,5.003373
9.75,1,5.015671
10.661667,1,5.029857
10.651667,3,5.07586
10.813333,6,5.166424
10.411667,2,5.199471
9.75,1,5.216908
11.323333,2,5.24415
8.621667,17,5.498316
10.641667,5,5.578584
9.75,1,5.595996
10.661667,1,5.616267
11.995,1,5.630337
10.553333,9,5.764052
11.235,6,5.840175
9.75,1,5.851286
11.985,3,5.896981
9.75,1,5.911307
9.74,3,5.956607
11.073333,3,5.996703
9.74,3,6.044602
9.97,6,6.129274
11.053333,7,6.228892
11.995,1,6.246363
4.621667,33,6.689264
10.631667,11,6.85463
10.745,6,6.937642
10.475,7,7.03795
8.68,19,7.307568
11.995,1,7.321355
9.665,22,7.633742
6.125,93,8.882608
-7.203333,100,10.222727
10.656667,2,10.254867
7.006667,46,10.927439
10.495,3,10.973052
9.548333,10,11.136807
9.75,1,11.152739
8.335,43,12.050942
9.033333,19,12.383398
9.75,1,12.39753
7.496667,46,12.983232
11.745,2,13.003563
11.313333,4,13.046251
10.661667,1,13.057411
11.313333,4,13.103039
6.568333,67,13.819663
6.583333,68,14.571744
8.105,40,14.990282
10.328333,1,15.001858
9.586667,20,15.220475
9.73,5,15.283103
10.475,7,15.356527
10.975,5,15.413852
-6.625,100,16.545684
8.885,31,16.925041
10.078333,2,16.95035
11.995,1,16.960879
11.995,1,16.972488
9.49,4,21.887245
9.555,44,22.409563
9.955,13,22.556572
9.778333,13,22.711435
10.048333,8,22.812103
11.745,2,22.835335
7.563333,68,23.624489
9.366667,15,23.803293
10.033333,15,23.974164
8.556667,30,24.317198
8.836667,23,24.581978
8.72,11,24.725804
8.875,33,25.112633
8.036667,36,25.533304
10.64,27,25.866179
9.17,19,26.092275
11.995,1,26.105026
11.995,1,26.11673
11.131667,9,26.227431
9.111667,17,26.434814
9.793333,14,26.595537
9.74,3,26.628246
11.205,12,26.766917
6.883333,57,27.441872
9.99,2,27.467246
9.375,31,27.849392
9.366667,15,28.023977
-5.91,100,29.341527
10.366667,11,29.484861
8.65,38,29.939548
6.11,87,31.371627
11.745,2,31.396589
-5.24,100,32.561346
-5.2,100,33.747314
7.245,78,39.081396
9.75,1,39.093749
