#{"t_start": 1785392322.1352978, "env_id": "None"}
r,l,t
-2.0,1,1.224539
-2.0,1,1.22583
-2.0,1,1.226953
-2.0,1,1.228086
-2.0,1,1.229184
-2.0,1,1.230287
-2.0,1,1.231372
-2.0,1,1.232462
-2.0,1,1.233506
-2.0,1,1.234554
5.0,1,1.235678
-2.0,1,1.236795
-2.0,1,1.238975
-2.0,1,1.24004
-2.0,1,1.241095
-2.0,1,1.242186
-2.0,1,1.243245
-2.0,1,1.244303
-2.0,1,1.245325
-2.0,1,1.246403
-2.0,1,1.247459
-2.0,1,1.248527
-2.0,1,1.249602
-2.0,1,1.250672
-2.0,1,1.251713
-2.0,1,1.252781
-2.0,1,1.253818
-2.0,1,1.254854
-2.0,1,1.255941
-2.0,1,1.256998
-2.0,1,1.258044
-2.0,1,1.259135
-2.0,1,1.260197
-2.0,1,1.261246
-2.0,1,1.262373
-2.0,1,1.263444
-2.0,1,1.264483
5.0,1,1.265557
-2.0,1,1.266589
-2.0,1,1.267634
5.0,1,1.268775
-2.0,1,1.269791
-2.0,1,1.270854
-2.0,1,1.271905
-2.0,1,1.272981
-2.0,1,1.274018
-2.0,1,1.275037
-2.0,1,1.276055
-2.0,1,1.277103
-2.0,1,1.278148
-2.0,1,1.279161
-2.0,1,1.280177
-2.0,1,1.281235
-2.0,1,1.282333
-2.0,1,1.283365
-2.0,1,1.284414
-2.0,1,1.285467
-2.0,1,1.286529
-2.0,1,1.287601
-2.0,1,1.288651
-2.0,1,1.289716
-2.0,1,1.290783
-2.0,1,1.291831
-2.0,1,1.292857
-2.0,1,1.2939
-2.0,1,1.294924
-2.0,1,1.295945
-2.0,1,1.296956
-2.0,1,1.297975
-2.0,1,1.299005
-2.0,1,1.300019
-2.0,1,1.301037
-2.0,1,1.30207
-2.0,1,1.303118
-2.0,1,1.304138
-2.0,1,1.3052
-2.0,1,1.306273
-2.0,1,1.307325
-2.0,1,1.308373
-2.0,1,1.309431
-2.0,1,1.310498
-2.0,1,1.31155
-2.0,1,1.3126
-2.0,1,1.313651
-2.0,1,1.314716
-2.0,1,1.315822
-2.0,1,1.31689
-2.0,1,1.31794
-2.0,1,1.318998
-2.0,1,1.320046
-2.0,1,1.321102
-2.0,1,1.322163
-2.0,1,1.32321
-2.0,1,1.324263
-2.0,1,1.325319
-2.0,1,1.326383
-2.0,1,1.327438
-2.0,1,1.328493
-2.0,1,1.329543
-2.0,1,1.33065
-2.0,1,1.331728
-2.0,1,1.332776
-2.0,1,1.333829
-2.0,1,1.334886
-2.0,1,1.335934
-2.0,1,1.336989
-2.0,1,1.338067
-2.0,1,1.339151
-2.0,1,1.340238
-2.0,1,1.341331
-2.0,1,1.342402
-2.0,1,1.343459
-2.0,1,1.344554
-2.0,1,1.345627
-2.0,1,1.346738
-2.0,1,1.347854
-2.0,1,1.348938
-2.0,1,1.350033
-2.0,1,1.351142
-2.0,1,1.35224
-2.0,1,1.353328
-2.0,1,1.354429
-2.0,1,1.35552
-2.0,1,1.356604
-2.0,1,1.357702
-2.0,1,1.358805
-2.0,1,1.359963
5.0,1,1.361104
-2.0,1,1.362286
-2.0,1,1.363404
-2.0,1,1.3645
-2.0,1,1.365589
-2.0,1,1.366681
-2.0,1,1.367786
-2.0,1,1.368876
-2.0,1,1.369965
-2.0,1,1.37106
-2.0,1,1.372157
-2.0,1,1.373246
-2.0,1,1.374345
-2.0,1,1.375439
-2.0,1,1.376533
-2.0,1,1.377617
-2.0,1,1.378722
-2.0,1,1.379817
-2.0,1,1.380911
-2.0,1,1.381996
-2.0,1,1.383095
-2.0,1,1.384181
-2.0,1,1.385267
-2.0,1,1.386366
-2.0,1,1.387462
-2.0,1,1.388584
-2.0,1,1.389789
-2.0,1,1.390949
-2.0,1,1.392044
-2.0,1,1.393135
-2.0,1,1.394235
-2.0,1,1.39532
-2.0,1,1.396402
-2.0,1,1.397487
-2.0,1,1.398587
-2.0,1,1.39968
-2.0,1,1.400767
-2.0,1,1.401856
-2.0,1,1.402956
-2.0,1,1.404042
-2.0,1,1.405129
-2.0,1,1.406256
-2.0,1,1.407388
-2.0,1,1.408478
-2.0,1,1.409565
5.0,1,1.410699
-2.0,1,1.411799
-2.0,1,1.412891
-2.0,1,1.413968
-2.0,1,1.415069
-2.0,1,1.416154
-2.0,1,1.417241
-2.0,1,1.418351
-2.0,1,1.419436
-2.0,1,1.420521
-2.0,1,1.421614
-2.0,1,1.422719
-2.0,1,1.423804
-2.0,1,1.424895
-2.0,1,1.425984
-2.0,1,1.427086
-2.0,1,1.428179
-2.0,1,1.429278
-2.0,1,1.430384
-2.0,1,1.431469
-2.0,1,1.432639
-2.0,1,1.433762
-2.0,1,1.434952
-2.0,1,1.43609
-2.0,1,1.43724
-2.0,1,1.438354
-2.0,1,1.439446
-2.0,1,1.440575
-2.0,1,1.441698
-2.0,1,1.442819
5.0,1,1.443935
-2.0,1,1.445031
-2.0,1,1.446125
-2.0,1,1.447213
-2.0,1,1.448302
-2.0,1,1.44939
-2.0,1,1.450483
-2.0,1,1.451584
-2.0,1,1.452674
-2.0,1,1.453767
-2.0,1,1.454876
-2.0,1,1.455968
-2.0,1,1.457053
-2.0,1,1.458151
-2.0,1,1.459236
-2.0,1,1.46032
-2.0,1,1.461403
-2.0,1,1.462505
-2.0,1,1.463595
-2.0,1,1.464679
-2.0,1,1.465816
-2.0,1,1.466941
-2.0,1,1.468031
-2.0,1,1.469131
-2.0,1,1.470236
-2.0,1,1.471332
-2.0,1,1.472422
-2.0,1,1.473519
-2.0,1,1.474684
-2.0,1,1.475957
-2.0,1,1.477107
-2.0,1,1.478276
-2.0,1,1.479641
-2.0,1,1.480755
-2.0,1,1.481878
-2.0,1,1.482978
-2.0,1,1.484061
-2.0,1,1.485147
-2.0,1,1.486258
-2.0,1,1.487385
-2.0,1,1.488498
-2.0,1,1.489622
-2.0,1,1.490761
-2.0,1,1.491891
-2.0,1,1.493015
-2.0,1,1.494152
-2.0,1,1.495275
-2.0,1,1.496399
-2.0,1,1.497522
-2.0,1,1.498665
5.0,1,1.499828
-2.0,1,1.500924
-2.0,1,1.50207
-2.0,1,1.503204
-2.0,1,1.504322
-2.0,1,1.505459
-2.0,1,1.506586
-2.0,1,1.507709
-2.0,1,1.508829
-2.0,1,1.509965
-2.0,1,1.511102
-2.0,1,1.512235
-2.0,1,1.513427
