#{"t_start": 1785881150.3303106, "env_id": "None"}
r,l,t
9.99,2,0.240149
9.75,1,0.24908
11.995,1,0.259552
11.995,1,0.269375
11.995,1,0.277536
11.245,4,0.313194
9.75,1,0.320264
11.995,1,0.330319
11.995,1,0.338629
9.75,1,0.344683
11.995,1,0.355684
11.745,2,0.374048
11.495,3,0.399569
8.611667,19,0.560586
11.485,5,0.601344
10.401667,4,0.638122
11.715,8,0.705786
11.225,8,0.770892
11.043333,9,0.842173
10.955,13,0.949714
10.823333,4,0.983814
9.74,3,1.0094
10.661667,1,1.016996
11.323333,2,1.03422
10.651667,3,1.057676
10.033333,15,1.184396
9.75,1,1.191321
11.303333,6,1.242411
10.141667,7,1.295861
10.641667,5,1.334652
8.861667,18,1.478762
10.783333,12,1.574189
10.661667,1,1.581364
11.995,1,1.590868
11.245,4,1.626268
5.725,75,2.220278
9.155,26,2.4225
7.613333,58,2.882784
7.841667,26,3.08719
11.283333,10,3.16526
9.75,1,3.172726
8.265,57,3.628951
5.213333,97,4.392924
10.725,6,4.439534
10.45,16,4.569011
11.303333,6,4.616149
4.773333,87,5.28282
8.246667,43,5.615242
10.975,5,5.654236
9.165,24,5.841843
6.996667,48,6.22367
9.75,1,6.231281
10.078333,2,6.246469
11.063333,5,6.284671
7.495,64,6.785135
9.173333,40,7.096834
10.813333,6,7.146042
-8.183333,100,7.92886
11.293333,8,7.990241
9.586667,20,8.151337
9.046667,30,14.094913
9.566667,24,14.29599
11.303333,6,14.344178
11.355,9,14.486314
10.63,16,14.615633
8.71,26,14.827655
8.6,97,15.610986
11.995,1,15.618699
10.06,19,15.765185
11.323333,2,15.781287
10.445,13,15.8881
10.406667,3,15.912328
9.99,2,15.930381
11.995,1,15.938334
8.25,51,16.354922
10.661667,1,16.36408
10.575,36,16.657459
9.99,2,16.674085
10.465,9,16.74676
10.77,6,16.794535
11.995,1,16.802445
8.34,82,17.460509
11.345,11,17.550071
10.375,27,17.764664
11.16,8,17.831143
9.685,36,18.115828
10.74,12,18.213336
10.995,1,18.220549
10.13,36,18.507815
-3.195,100,19.315875
9.97,19,19.471575
10.661667,1,19.480506
10.105,32,19.743486
11.18,4,19.775396
10.395,23,19.962909
10.955,9,20.039842
10.78,4,20.075205
11.995,1,20.082936
11.323333,2,20.099572
10.03,38,20.405848
11.995,1,20.414423
10.24,45,20.777556
10.295,12,20.876343
10.89,13,20.979035
7.01,72,21.573794
8.64,89,22.307545
10.656667,2,22.322952
11.995,1,22.331468
9.98,4,22.370382
10.38,4,28.214455
10.656667,2,28.234769
11.995,1,28.244564
10.78,4,28.279603
11.18,4,28.317058
9.99,2,28.334336
10.585,3,28.361127
10.995,1,28.369683
10.335,4,28.406605
10.39,2,28.424163
11.785,3,28.450353
10.37,6,28.507005
10.985,3,28.535845
10.01,11,28.636494
10.39,2,28.654504
10.78,4,28.692695
10.9,11,28.790104
9.99,2,28.808001
10.595,1,28.816935
11.19,2,28.833115
10.54,3,28.857197
9.99,2,28.875763
10.545,11,28.972439
9.846667,48,29.382925
11.995,1,29.390347
11.016667,10,29.472362
10.378333,13,29.577474
9.75,1,29.584903
11.145,11,29.674947
11.313333,4,29.707904
10.395,63,30.231278
10.651667,3,30.257164
10.541667,87,30.975793
11.175,5,31.016701
10.413333,24,31.208499
11.995,1,31.217974
11.323333,2,31.236123
11.033333,11,31.325366
10.473333,12,31.424956
10.865,18,31.577284
10.986667,16,31.70513
10.19,24,31.903222
10.985,3,31.927911
11.036667,6,31.97667
11.056667,2,31.992729
10.79,2,32.008158
9.801667,39,32.326591
11.995,1,32.333933
10.158333,57,32.797489
10.5,11,32.890332
10.995,1,32.89878
8.126667,85,33.582133
10.825,26,33.790368
10.888333,9,33.863586
11.043333,9,33.938771
10.793333,10,34.020854
10.918333,3,34.045518
11.411667,11,34.139554
9.768333,37,34.442398
11.323333,2,34.459637
9.75,1,34.466346
10.221667,40,34.804178
10.996667,14,34.916105
10.661667,1,34.924269
9.99,2,34.941501
10.621667,9,35.017449
11.421667,9,35.093744
-2.66,100,35.920534
8.953333,84,42.605913
10.912857,46,42.988692
10.082619,46,43.371637
11.323333,2,43.389077
11.042857,20,43.558507
10.892381,12,43.660056
10.585,3,43.68507
11.092857,10,43.768179
10.943095,10,43.851191
10.862857,7,43.908035
11.175,5,43.950735
10.661667,1,43.958963
10.78,4,43.993752
