#{"t_start": 1785396885.4605675, "env_id": "None"}
r,l,t
-2.0,1,1.647084
-2.0,1,1.649074
-2.0,1,1.650725
-2.0,1,1.652401
-2.0,1,1.653989
-2.0,1,1.655625
-2.0,1,1.657218
-2.0,1,1.658914
-2.0,1,1.66049
-2.0,1,1.662104
-2.0,1,1.663641
-2.0,1,1.665277
-2.0,1,1.666818
-2.0,1,1.66841
-2.0,1,1.669949
-2.0,1,1.671514
-2.0,1,1.673219
-2.0,1,1.674838
-2.0,1,1.67639
-2.0,1,1.677943
-2.0,1,1.67949
-2.0,1,1.681013
-2.0,1,1.682531
-2.0,1,1.684065
-2.0,1,1.685701
-2.0,1,1.687317
-2.0,1,1.689005
-2.0,1,1.690593
-2.0,1,1.692123
-2.0,1,1.693675
-2.0,1,1.695199
-2.0,1,1.696725
-2.0,1,1.698264
-2.0,1,1.699797
-2.0,1,1.701344
-2.0,1,1.702878
-2.0,1,1.7044
-2.0,1,1.705939
-2.0,1,1.707457
-2.0,1,1.708984
-2.0,1,1.710498
-2.0,1,1.712017
-2.0,1,1.713569
-2.0,1,1.7151
-2.0,1,1.716619
-2.0,1,1.718162
-2.0,1,1.719683
-2.0,1,1.721214
-2.0,1,1.722749
-2.0,1,1.724291
-2.0,1,1.725837
-2.0,1,1.727379
5.0,1,1.728986
-2.0,1,1.730474
-2.0,1,1.731986
-2.0,1,1.733507
-2.0,1,1.735058
-2.0,1,1.736587
-2.0,1,1.738147
-2.0,1,1.73972
-2.0,1,1.741271
-2.0,1,1.742819
-2.0,1,1.74443
-2.0,1,1.746001
-2.0,1,1.747553
-2.0,1,1.749155
-2.0,1,1.750683
-2.0,1,1.752247
-2.0,1,1.753816
-2.0,1,1.75535
-2.0,1,1.75692
-2.0,1,1.758564
-2.0,1,1.760203
-2.0,1,1.761808
-2.0,1,1.763422
-2.0,1,1.765068
-2.0,1,1.766759
-2.0,1,1.768426
-2.0,1,1.770102
-2.0,1,1.771772
-2.0,1,1.77347
-2.0,1,1.775165
-2.0,1,1.77687
-2.0,1,1.778554
-2.0,1,1.78022
-2.0,1,1.781905
