#{"t_start": 1785857736.4096696, "env_id": "None"}
r,l,t
9.49,4,3.257483
11.995,1,3.266039
11.745,2,3.280459
9.49,4,3.307141
11.745,2,3.323473
11.995,1,3.331259
9.75,1,3.338613
11.745,2,3.354577
9.99,2,3.371726
9.99,2,3.389541
11.745,2,3.405499
9.99,2,3.420547
11.995,1,3.427462
9.99,2,3.443552
9.99,2,3.458637
11.245,4,3.491545
11.323333,2,3.508258
10.803333,8,3.565624
11.995,1,3.572495
9.203333,34,3.828685
11.313333,4,3.860436
10.715,12,3.949228
9.401667,8,4.007091
11.745,2,4.023185
9.44,14,4.124635
11.495,3,4.145915
10.661667,1,4.153149
10.661667,1,4.160392
11.995,1,4.16784
11.995,1,4.176559
10.053333,11,4.258333
10.661667,1,4.266181
9.661667,5,4.301071
9.75,1,4.307612
9.99,2,4.322931
11.745,2,4.339385
7.081667,31,4.573618
10.161667,3,4.594024
10.401667,4,4.624008
10.661667,1,4.631756
11.995,1,4.64127
11.995,1,4.65077
10.401667,4,4.68064
9.405,25,4.940672
9.425,21,5.091499
8.206667,51,5.4655
10.116667,12,5.581655
9.75,1,5.589934
11.215,10,5.687494
10.745,2,5.703482
8.02,53,6.087745
8.91,22,6.247426
11.495,3,6.269725
10.445,13,6.362504
9.415,23,6.531098
8.488333,26,6.722828
-6.978333,100,7.460055
10.328333,1,7.468227
10.411667,2,7.482363
5.926667,66,7.96149
10.155,22,8.128078
9.548333,10,8.201399
10.661667,1,8.208629
10.445,13,8.299997
8.046667,34,8.549859
10.293333,12,8.639101
10.803333,8,8.695817
9.73,5,8.730737
10.955,9,8.795985
11.745,2,8.81059
7.555,52,9.17562
9.856667,15,9.289955
10.273333,16,9.406957
6.851667,28,9.607354
10.308333,5,9.643572
9.945,15,9.750561
8.093333,60,10.439064
8.248333,25,10.624255
10.823333,4,10.654354
8.171667,62,15.670972
10.791667,28,15.880003
10.725,6,15.925123
10.661667,1,15.933382
9.99,2,15.947682
10.263333,18,16.075573
11.063333,5,16.11252
11.995,1,16.119863
11.995,1,16.128455
9.351667,22,16.296692
10.39,28,16.498293
11.995,1,16.505602
9.993333,23,16.709963
11.995,1,16.995658
11.395,1,17.004826
9.99,2,17.023215
8.395,49,17.389097
9.9,15,17.50351
8.645,30,17.72912
9.175,40,18.020952
8.815,58,18.453446
9.31,35,18.719347
11.17,6,18.762532
5.49,82,19.356368
8.805,65,19.837852
9.28,28,20.05193
11.313333,4,20.083376
10.396667,5,20.120035
-6.98,100,20.862974
10.38,4,20.891743
8.55,58,21.328231
7.84,35,21.587084
7.475,99,22.319152
8.825,43,22.638153
9.045,30,22.857948
9.975,27,23.061463
8.785,51,27.909251
10.775,27,28.123259
10.315,8,28.183836
11.135,4,28.216153
7.03,68,28.727171
10.295,12,28.818017
10.725,6,28.861782
10.565,7,28.915656
9.99,2,28.93151
11.131667,9,28.998662
11.16,8,29.056941
8.855,55,29.464413
6.95,53,29.861851
10.14,16,29.984212
9.99,2,30.000876
10.45,21,30.159613
9.75,1,30.166112
9.845,53,30.578856
10.79,2,30.594169
10.135,26,30.793667
6.94,55,31.202277
10.245,35,31.464728
10.26,10,31.538331
10.656667,2,31.55305
9.99,2,31.568562
10.078333,2,31.58318
9.495,25,31.777876
10.285,14,31.884327
9.935,17,32.016596
10.328333,1,32.024127
9.75,1,32.030684
10.328333,1,32.039645
11.995,1,32.047618
8.325,63,32.520437
10.565,20,32.67793
10.52,7,32.729912
9.75,1,32.737809
9.635,28,32.944994
9.99,2,32.960306
11.323333,2,32.975633
9.99,2,32.991264
10.995,1,32.999521
10.02,9,33.069701
11.323333,2,33.084187
10.6,22,33.253481
10.49,13,33.352784
10.328333,1,33.359959
9.75,1,33.36806
11.315,17,33.496191
11.18,4,33.527124
10.27,39,33.812677
9.905,10,33.887238
11.135,4,33.915516
10.125,28,34.131043
9.56,21,34.288397
-4.485,100,35.032924
11.55,10,35.112464
10.71,31,35.354072
10.07,30,39.984061
10.661667,1,39.996249
11.995,1,40.003799
9.75,1,40.010185
9.841667,31,40.257611
10.628333,12,40.349231
10.706667,23,40.526781
10.21,20,40.679694
10.898333,7,40.732753
10.898333,7,40.784141
8.64,40,41.091256
10.865,18,41.229763
9.528333,36,41.505275
9.43,29,41.725247
8.256667,72,42.275463
10.545,33,42.528829
10.79,2,42.545065
9.795,14,42.649427
9.64,36,42.92647
11.175,5,42.963029
10.595,1,42.970891
11.995,1,42.978673
10.53,5,43.016917
10.406667,3,43.040206
9.853333,51,43.424851
10.368333,15,43.542608
9.99,2,43.559462
8.306667,62,44.023236
10.48,15,44.137643
10.385,3,44.159464
11.58,4,44.189993
11.323333,2,44.20554
10.875,16,44.325272
11.293333,8,44.389116
10.256667,2,44.404577
10.375,5,44.443429
9.085,80,45.053733
