#{"t_start": 1785871357.81442, "env_id": "None"}
r,l,t
9.99,2,3.009192
11.745,2,3.026199
9.75,1,3.038372
11.995,1,3.046188
10.745,6,3.100338
11.245,4,3.134738
11.995,1,3.142911
9.49,4,3.177711
10.803333,8,3.250525
8.793333,18,3.405663
10.651667,3,3.441175
9.75,1,3.449441
10.611667,11,3.544537
11.995,1,3.554412
11.745,2,3.572119
10.151667,5,3.614327
11.745,2,3.62958
9.641667,9,3.702734
10.563333,7,3.762861
10.695,16,3.898767
10.965,11,3.999441
11.745,2,4.017497
11.745,2,4.03352
9.75,1,4.043399
11.995,1,4.051497
11.323333,2,4.066188
9.75,1,4.073913
10.161667,3,4.099366
9.75,1,4.106795
9.813333,10,4.193147
10.503333,19,4.444479
9.296667,29,4.665973
-6.4,100,5.467057
9.866667,13,5.568991
9.866667,13,5.669379
10.328333,1,5.677057
6.096667,81,6.319646
11.745,2,6.335748
8.988333,24,6.528672
9.153333,44,6.890615
7.4,30,7.121489
10.513333,17,7.256825
9.99,2,7.273856
-8.223333,100,8.054272
9.99,2,8.071008
9.281667,36,8.358296
7.421667,65,8.884873
5.045,64,9.394333
8.256667,41,9.712382
11.995,1,9.721638
9.365,33,9.982115
10.553333,9,10.055427
11.745,2,10.072134
-8.36,100,10.870079
9.508333,18,11.017253
9.521667,37,16.881411
11.641667,5,16.925135
10.735,4,16.961127
11.631667,7,17.054884
8.385,69,17.62706
11.073333,3,17.650841
11.57,6,17.70071
10.78,17,17.839956
9.75,1,17.846714
8.72,55,18.299234
10.985,3,18.323487
10.985,3,18.349237
10.075,38,18.655024
10.646667,4,18.686031
9.39,37,18.989192
10.935,13,19.095566
11.115,8,19.161401
9.89,35,19.453971
-5.33,100,20.263471
9.305,45,20.636748
10.07,30,20.886233
10.46,19,21.061718
9.235,59,21.618958
11.995,1,21.629125
8.295,51,22.095316
10.195,1,22.106152
9.886667,9,22.185656
9.24,67,22.819127
11.33,5,22.868408
10.285,14,23.01858
9.405,25,23.225993
10.78,4,23.258928
10.9,11,23.353368
7.645,83,24.04391
10.325,6,24.094
10.03,38,24.415103
10.985,3,24.442139
11.073333,3,24.469822
11.995,1,24.477984
